"Daily Weather Observations for Perth, Western Australia for April 2019"
"Prepared at 13:03 UTC on Sunday 12 April 2020   IDCJDW6111.201904"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-04-1,21.3,26.8,0,7.8,1.0,W,20,19:00,25.0,64,7, ,Calm,1013.7,25.6,58,8,NW,6,1013.6
,2019-04-2,18.5,29.0,0,4.4,9.3,E,35,22:59,20.8,68,3,S,11,1018.0,26.6,48,2,WSW,17,1015.4
,2019-04-3,18.5,30.0,0,7.0,8.6,ESE,31,00:01,20.4,67,7,E,11,1017.9,28.6,49,1,NE,11,1013.1
,2019-04-4,20.2,23.0,0,4.4,7.6,SW,46,11:10,20.9,74,7,WSW,17,1015.9,21.7,51,3,SW,22,1017.6
,2019-04-5,8.8,24.1,0,5.6,10.0,SW,31,16:37,15.7,60,1,SE,15,1026.1,22.0,40,0,WSW,17,1022.6
,2019-04-6,7.2,24.9,0,5.4,10.6,SSW,31,15:53,18.3,48,0,SSE,2,1023.3,23.6,39,0,SW,13,1020.1
,2019-04-7,11.5,25.9,0,5.6,10.6,SSW,30,16:17,17.7,63,1,SSE,11,1023.3,24.3,49,0,SW,13,1018.9
,2019-04-8,12.0,28.2,0,5.4,10.5,ESE,33,21:24,18.7,62,1,ESE,9,1020.6,27.3,31,0,ESE,11,1016.6
,2019-04-9,15.6,33.6,0,8.2,10.5,NE,33,08:42,21.1,52,0,ENE,15,1016.5,32.6,25,0,E,4,1012.8
,2019-04-10,13.7,27.8,0,6.4,10.2,SW,22,10:54,21.3,68,1,NE,6,1013.7,27.4,50,1,W,9,1012.7
,2019-04-11,17.5,25.0,0,5.4,8.0,W,28,12:39,21.7,61,3,WSW,9,1016.1,24.4,60,5,WSW,13,1015.5
,2019-04-12,14.6,27.7,0,5.8,9.4,SSE,30,14:57,18.9,62,4,SSE,11,1020.1,26.6,44,4,ESE,11,1016.1
,2019-04-13,18.0,28.8,0,6.6,8.4,WNW,37,12:48,24.5,59,1,NNE,19,1014.6,23.6,67,7,W,17,1012.7
,2019-04-14,15.6,22.8,0,4.2,5.1,NW,30,13:46,21.0,79,3,NNW,7,1012.1,19.8,90,8,WNW,9,1009.3
,2019-04-15,18.5,22.3,8.2,1.6,5.3,WNW,43,06:28,19.0,84,7,W,15,1012.7,20.2,77,7,WNW,11,1011.6
,2019-04-16,17.3,22.7,5.6,2.4,4.8,SW,43,12:54,19.9,65,2,W,17,1014.0,18.7,86,6,WSW,9,1015.0
,2019-04-17,12.8,22.3,3.0,4.0,9.7,SSE,24,11:40,17.2,57,1,E,9,1023.1,21.4,39,1,N,6,1019.8
,2019-04-18,12.1,24.0,0,4.4,8.2,W,31,16:56,18.2,53,2,WSW,4,1016.2,22.1,55,4,WSW,13,1012.2
,2019-04-19,10.5,17.1,23.4,5.4,6.6,SW,76,01:27,11.6,88,7,S,9,1016.8,15.5,50,6,SW,19,1017.9
,2019-04-20,5.6,18.4,4.0,3.4,10.2,SSW,39,21:11,11.6,67,1,SE,7,1027.1,17.8,45,3,SW,13,1025.2
,2019-04-21,5.7,22.9,0,3.8,10.3,SW,22,16:09,13.9,63,2,NE,7,1028.9,22.6,30,1,NE,4,1024.5
,2019-04-22,6.9,25.1,0,4.2,10.2,SW,28,15:24,17.1,44,0,SSE,9,1024.6,24.6,27,0,SW,11,1021.8
,2019-04-23,8.7,27.4,0,3.8,10.3,SW,26,16:50,18.8,49,2,E,7,1025.4,25.6,32,0,SW,13,1022.8
,2019-04-24,10.9,28.5,0,5.0,10.3,E,24,09:16,19.3,53,0,ENE,11,1027.3,28.0,27,0,ESE,9,1024.0
,2019-04-25,13.6,28.8,0,5.6,10.2,SSE,28,13:41,19.2,61,0,E,9,1026.5,28.6,26,0,E,9,1022.8
,2019-04-26,14.7,28.1,0,5.8,10.1,NE,31,13:37,21.2,49,0,E,7,1026.2,27.7,24,0,E,13,1022.4
,2019-04-27,9.8,28.9,0,5.8,10.1,NE,31,09:45,19.6,48,0,ENE,11,1025.5,28.4,21,0,E,9,1021.3
,2019-04-28,10.7,30.5,0,5.4,8.6,NE,28,10:00,21.9,35,3,NE,11,1021.0,29.0,18,7,W,9,1017.6
,2019-04-29,14.2,21.7,0,6.2,4.5,SSW,43,11:13,17.3,80,8, ,Calm,1016.2,20.8,55,6,SW,19,1017.8
,2019-04-30,6.3,20.6,0,6.2,9.3,SW,37,14:45,13.9,67,2, ,Calm,1023.8,19.8,45,5,SW,19,1021.0
