"Daily Weather Observations for Perth, Western Australia for May 2019"
"Prepared at 13:03 UTC on Saturday 11 April 2020   IDCJDW6111.201905"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-05-1,9.2,18.0,0,2.8,6.8,SSE,28,10:07,13.2,70,2,SSE,7,1023.0,16.3,44,7,SE,9,1020.3
,2019-05-2,5.5,19.6,0,3.4,9.8,ENE,28,10:15,12.6,59,0,E,13,1023.9,19.4,32,0,NE,9,1020.0
,2019-05-3,6.6,27.1,0,4.0,9.8,NE,31,10:54,15.9,41,0,NE,13,1019.9,26.8,19,0,NE,15,1013.9
,2019-05-4,11.2,24.0,2.0,4.4,7.6,W,31,13:01,18.8,96,3,WNW,7,1016.1,22.4,54,2,W,15,1017.0
,2019-05-5,11.3,22.0,0.2,2.8,3.6,NW,33,23:08,18.0,76,1,NNE,9,1018.6,21.4,64,7,NW,9,1015.8
,2019-05-6,16.2,20.4,7.2,2.6,8.8,WSW,48,00:51,18.8,53,1,WSW,15,1020.7,18.9,55,3,SSW,17,1021.9
,2019-05-7,7.2,21.3,0,3.4,8.6,SW,26,14:39,15.7,70,1, ,Calm,1028.5,20.5,55,2,SW,13,1026.8
,2019-05-8,9.5,22.2,0,,7.8,SSE,33,12:28,15.5,84,7,S,11,1030.5,22.0,46,1,SE,7,1027.9
,2019-05-9,8.1,22.4,0,8.6,9.8,E,30,09:31,13.7,62,0,E,9,1034.5,22.2,29,0,ESE,9,1031.1
,2019-05-10,7.9,24.2,0,,9.8,NE,31,11:29,16.1,46,0,ESE,6,1034.8,23.7,26,0,NE,11,1030.4
,2019-05-11,6.1,24.0,0,,9.6,NE,22,10:12,16.2,48,1,ENE,4,1031.3,23.5,28,6,ENE,6,1026.4
,2019-05-12,7.7,24.9,0,,9.6,WNW,24,12:34,16.2,49,1,NNE,6,1024.5,23.2,44,1,W,9,1020.9
,2019-05-13,8.8,22.3,0,4.0,9.2,SSE,22,13:23,15.6,81,1, ,Calm,1025.3,21.9,45,1,S,11,1022.5
,2019-05-14,8.5,28.0,0,3.2,9.6,ENE,15,04:49,15.5,61,1,E,7,1024.1,27.6,21,1,WSW,6,1020.6
,2019-05-15,7.8,27.6,0,4.6,6.9,NW,30,14:17,17.6,48,7,NE,7,1020.5,23.8,42,6,W,13,1017.9
,2019-05-16,14.5,18.0,0.2,3.0,0.9,S,43,13:15,16.0,98,8, ,Calm,1018.6,15.0,70,7,SSE,19,1021.2
,2019-05-17,5.3,16.7,1.8,3.2,8.7,SSE,24,10:04,10.0,67,0,ESE,7,1028.3,15.9,40,3,SE,7,1024.3
,2019-05-18,2.1,17.4,0,2.6,9.3,SE,19,12:39,9.0,75,0,ENE,7,1026.0,17.1,43,1,S,2,1022.5
,2019-05-19,1.6,21.2,0,2.4,9.1,NNE,24,11:00,10.6,63,1,NNE,7,1021.0,19.8,31,7,N,7,1015.8
,2019-05-20,9.6,20.9,6.0,1.4,7.8,WSW,28,12:28,15.4,99,7, ,Calm,1016.7,19.1,58,5,SW,15,1017.7
,2019-05-21,12.7,20.8,0.4,2.6,5.4,NNE,19,10:35,15.1,83,7,N,9,1023.8,19.2,54,2,W,7,1022.1
,2019-05-22,6.8,21.8,0,1.6,8.6,WSW,20,14:32,13.8,74,1,ENE,7,1023.9,21.1,41,2,WSW,9,1020.0
,2019-05-23,10.4,21.2,0,2.8,5.0,SW,20,15:35,13.5,78,7, ,Calm,1024.6,20.4,56,6,SSW,9,1022.8
,2019-05-24,6.7,21.1,0,3.0,7.1,SW,24,14:38,11.5,93,7,SW,2,1025.2,19.7,55,2,SW,11,1023.4
,2019-05-25,7.6,20.5,0,2.0,9.3,SSE,46,02:29,13.9,85,5,ESE,4,1026.5,20.1,52,4,SSW,9,1023.3
,2019-05-26,5.3,21.7,0,1.8,9.2,SE,24,12:30,13.1,72,0,SE,7,1026.7,20.9,38,0,SE,11,1023.7
,2019-05-27,9.9,22.1,0,3.8,9.2,SE,28,02:46,13.5,66,0,ESE,9,1027.0,21.7,31,0,ESE,13,1023.2
,2019-05-28,10.7,23.3,0,3.6,9.4,E,30,15:10,15.3,55,0,E,9,1024.8,23.1,29,0,ESE,11,1021.4
,2019-05-29,9.8,23.3,0,4.0,8.7,NE,33,11:51,14.5,56,0,ESE,6,1025.3,22.8,29,3,ENE,17,1021.9
,2019-05-30,12.8,23.6,0,6.6,6.4,NE,43,10:05,15.6,49,2,NE,22,1024.5,23.2,28,7,NE,13,1021.3
,2019-05-31,13.2,26.5,0,3.4,5.4,N,28,11:28,17.1,45,7,NE,9,1025.2,26.1,23,5,NW,7,1024.0
