"Daily Weather Observations for Perth, Western Australia for June 2019"
"Prepared at 13:03 UTC on Friday 10 April 2020   IDCJDW6111.201906"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-06-1,7.5,25.5,0,3.8,9.2,NE,24,11:40,15.8,51,2,NW,2,1029.9,24.9,20,2,ENE,11,1027.6
,2019-06-2,5.9,24.5,0,6.0,9.4,NE,28,12:28,15.8,30,0,ENE,7,1032.2,24.0,17,1,ENE,7,1029.3
,2019-06-3,7.3,23.9,0,2.8,9.2,NNE,30,11:01,14.8,40,1,NE,7,1032.2,23.7,20,1,ENE,11,1028.1
,2019-06-4,7.2,22.8,0,3.6,9.2,NNE,35,10:15,15.0,52,0,NE,17,1030.0,22.1,28,1,NE,7,1026.2
,2019-06-5,6.1,23.0,0,5.0,6.8,NE,37,04:05,15.1,35,6,NE,17,1024.1,22.0,19,7,NNE,17,1020.2
,2019-06-6,13.4,22.8,0,7.0,0.0,NNW,59,23:29,19.0,17,7,NNE,28,1014.9,22.5,12,8,NNE,19,1009.6
,2019-06-7,11.2,19.4,28.4,3.2,5.2,N,52,04:18,13.3,99,7,N,11,1010.7,16.4,66,3,WSW,17,1012.2
,2019-06-8,10.4,19.0,6.2,1.0,4.6,NNW,57,14:59,13.6,87,2,N,9,1010.5,16.4,68,7,NNW,26,1004.4
,2019-06-9,9.9,17.5,17.2,3.2,5.6,W,50,03:06,11.7,82,7,W,15,1010.6,17.2,59,5,W,19,1010.0
,2019-06-10,11.6,19.4,19.8,1.0,1.7,WNW,48,08:41,15.1,91,7,NW,19,1002.9,11.8,83,8,WSW,24,1002.8
,2019-06-11,9.4,15.7,17.6,1.0,3.3,SW,54,03:42,10.1,89,7,SSW,7,1010.6,15.0,80,6,W,7,1013.3
,2019-06-12,7.8,18.2,17.6,1.2,5.0,W,28,09:42,11.7,99,6,WSW,6,1022.0,17.8,50,7,WSW,13,1021.4
,2019-06-13,8.1,19.7,1.0,1.0,5.8,N,22,12:38,11.5,95,7,NNE,9,1023.9,18.7,60,7,WNW,9,1022.3
,2019-06-14,8.4,17.6,1.2,3.0,4.9,SW,20,16:55,10.9,99,6,W,9,1024.4,16.4,87,5,SSW,4,1022.2
,2019-06-15,7.5,18.6,8.8,0.6,4.3,S,19,04:05,12.2,99,7,SSE,4,1026.5,17.7,67,3,SSE,4,1024.9
,2019-06-16,10.4,18.1,0,0.0,5.0,WSW,28,15:26,14.0,81,3,SSE,7,1027.3,17.7,69,5,WNW,9,1025.2
,2019-06-17,9.1,17.3,0.8,1.5,5.6,SSE,19,08:47,12.1,78,7,SE,7,1030.7,16.6,50,3,ESE,9,1028.3
,2019-06-18,2.8,,0,2.0,9.1,,,,9.4,80,4,ESE,2,1028.9,17.1,44,1,NNE,4,1024.7
,2019-06-19,2.1,18.9,0,2.0,9.0,NE,22,14:13,9.4,79,3,NNE,4,1025.2,18.4,36,1,NE,7,1021.5
,2019-06-20,4.4,19.7,0,2.6,5.3,NE,24,23:42,9.6,64,7,NE,4,1020.8,18.2,43,7,NE,9,1016.8
,2019-06-21,9.6,24.5,0,3.4,8.9,NNE,20,11:35,16.1,49,2,E,6,1014.2,24.1,35,2,N,4,1011.7
,2019-06-22,14.7,21.3,0.6,2.2,2.8,N,41,17:40,16.7,90,7,NNE,11,1011.3,18.7,79,8,NNE,7,1007.1
,2019-06-23,13.8,19.9,58.0,1.6,4.0,WNW,50,18:21,14.8,99,5,NNE,4,1009.8,17.8,75,3,WNW,9,1009.0
,2019-06-24,12.3,19.8,2.6,4.6,5.5,W,28,01:56,15.2,81,5, ,Calm,1020.4,18.6,56,7,WSW,7,1020.9
,2019-06-25,14.9,21.0,0.2,2.0,4.4,NNE,31,10:56,16.6,58,7,NNE,9,1022.2,19.9,50,7,NNW,9,1018.3
,2019-06-26,12.2,20.1,1.0,2.0,3.6,WSW,50,22:56,13.9,97,2,NNE,11,1010.8,19.7,79,6,NNW,17,1005.7
,2019-06-27,12.9,17.5,20.6,1.8,3.7,W,48,09:53,15.2,65,7,W,17,1009.7,15.3,62,7,WSW,20,1009.3
,2019-06-28,7.2,15.8,10.0,0.8,7.8,SSW,28,00:10,10.1,87,5,S,2,1024.1,15.4,57,3,SSW,7,1024.7
,2019-06-29,7.4,16.8,0,2.2,2.4,NNW,31,13:00,11.6,72,7,NNE,9,1025.9,15.9,66,7,NNW,13,1022.8
,2019-06-30,10.6,16.0,0.4,2.0,0.2,NNE,22,08:40,11.9,84,7,N,7,1020.3,14.8,92,8,N,4,1017.8
