"Daily Weather Observations for Perth, Western Australia for July 2019"
"Prepared at 13:03 UTC on Thursday  9 April 2020   IDCJDW6111.201907"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-07-1,11.9,20.2,9.4,2.0,5.8,W,17,16:00,13.2,99,4,WNW,6,1020.4,18.6,62,2,W,6,1018.9
,2019-07-2,6.0,20.6,0.2,0.8,9.3,W,15,13:08,12.2,86,2,W,7,1022.0,19.5,49,2,W,4,1019.7
,2019-07-3,6.1,21.7,0,1.2,9.3,NE,33,12:07,12.2,92,0,W,2,1021.0,21.5,37,0,ENE,15,1015.1
,2019-07-4,12.0,19.1,0,3.4,0.0,NNE,37,07:24,18.8,52,8,NNE,17,1007.3,13.3,99,8,SW,7,1007.5
,2019-07-5,8.9,13.5,44.2,4.6,2.8,SSW,30,05:05,10.2,87,6,SSE,4,1017.1,12.6,80,4,SSE,2,1017.7
,2019-07-6,6.8,18.2,11.2,1.0,7.9,SW,30,15:36,10.0,94,5,NNE,7,1022.4,16.7,69,5,WSW,11,1021.5
,2019-07-7,9.8,19.2,1.6,2.2,8.8,N,24,11:22,12.6,86,1,NNE,9,1025.4,18.7,49,1,N,7,1022.5
,2019-07-8,5.5,20.5,0,1.0,8.8,S,24,21:18,10.7,79,1,N,7,1025.0,19.8,59,4,WNW,11,1023.1
,2019-07-9,8.8,18.3,0,1.8,6.7,SSW,24,11:38,12.3,99,3, ,Calm,1025.9,17.9,58,3,SW,13,1024.1
,2019-07-10,9.7,18.1,0.2,2.0,1.1,SSW,24,12:50,13.2,97,7, ,Calm,1026.8,17.3,59,8,SW,11,1025.3
,2019-07-11,10.6,18.6,0,0.8,5.8,SSW,20,16:36,13.4,85,7, ,Calm,1029.7,17.9,64,5,SSE,9,1028.1
,2019-07-12,4.4,18.7,0,0.6,9.2,SE,24,16:56,11.0,96,2,S,2,1032.2,18.1,56,1,SE,9,1030.1
,2019-07-13,6.7,19.1,0,2.2,9.1,NE,26,13:25,12.9,82,4,ESE,6,1034.7,18.9,50,1,E,9,1031.6
,2019-07-14,5.8,19.3,0,3.0,9.2,NE,31,14:07,11.0,69,0,E,7,1033.7,18.8,42,0,E,9,1030.3
,2019-07-15,6.4,19.8,0,3.2,9.2,NE,33,10:02,13.4,59,0,ENE,11,1031.9,19.6,42,0,NNE,11,1028.1
,2019-07-16,3.8,21.9,0,1.8,9.2,SSW,20,13:56,12.1,69,0,ENE,6,1030.1,20.4,32,0,SW,9,1026.9
,2019-07-17,3.3,22.4,0,3.4,9.2,SW,44,05:24,10.8,75,0,SW,7,1024.4,21.5,35,0,NW,9,1021.2
,2019-07-18,8.6,20.7,0.8,1.6,2.4,NNE,19,09:23,12.9,84,5,WSW,7,1021.1,20.3,63,7,WNW,7,1017.4
,2019-07-19,12.0,19.4,5.0,2.8,4.2,WNW,56,15:44,13.6,99,7,NNE,7,1011.7,17.7,81,8,NNW,19,1005.3
,2019-07-20,8.8,17.7,13.2,2.0,6.4,W,48,01:19,11.8,92,5,SSE,4,1017.8,15.8,69,6,WSW,11,1019.1
,2019-07-21,11.8,19.2,5.8,0.4,2.9,W,43,03:53,16.2,76,7,WSW,9,1018.8,17.9,59,7,W,15,1017.1
,2019-07-22,12.5,17.4,3.6,2.6,3.4,SW,30,00:18,13.9,78,7, ,Calm,1020.6,16.9,57,2,SW,13,1021.2
,2019-07-23,7.4,19.0,0.2,1.4,4.9,SW,17,13:53,12.1,81,1,S,7,1026.3,18.2,68,7,SW,9,1024.3
,2019-07-24,7.1,20.8,0,1.0,8.1,NE,22,09:47,12.3,87,1,S,9,1025.6,20.1,55,4,WNW,11,1021.3
,2019-07-25,11.0,17.0,2.6,3.0,2.3,SSE,20,10:57,13.0,99,7,S,11,1025.2,17.0,62,8,S,6,1023.6
,2019-07-26,10.8,15.9,0,2.0,0.2,E,22,00:35,11.9,80,8,ENE,9,1022.6,15.8,68,8,NE,9,1019.0
,2019-07-27,11.4,20.3,10.4,1.4,5.5,SW,20,15:37,12.4,98,7,NE,6,1020.3,19.9,49,5,WSW,2,1017.6
,2019-07-28,10.2,19.0,0.2,2.8,9.2,SSE,26,15:39,12.3,81,5,SSE,9,1024.7,18.0,51,4,SSE,11,1023.4
,2019-07-29,7.3,17.3,0,2.0,9.4,SE,26,14:33,11.9,79,1,ESE,11,1028.3,16.6,63,1,ESE,11,1025.7
,2019-07-30,7.7,23.2,0,2.2,9.4,NE,24,10:16,13.9,75,1,ESE,7,1026.9,22.3,44,1,N,2,1024.9
,2019-07-31,6.7,22.9,0,2.0,8.7,NE,22,09:51,14.2,81,0, ,Calm,1030.6,21.6,33,2,NE,11,1029.1
