"Daily Weather Observations for Perth, Western Australia for August 2019"
"Prepared at 13:03 UTC on Wednesday  8 April 2020   IDCJDW6111.201908"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-08-1,5.7,20.8,0,3.2,9.7,NE,35,12:19,12.7,59,0,ENE,7,1032.4,20.5,31,0,ENE,9,1028.9
,2019-08-2,6.1,24.9,0,2.4,9.6,NE,35,10:56,16.2,46,5,NE,17,1025.7,24.3,33,3,ENE,13,1020.8
,2019-08-3,12.1,22.3,0,5.2,3.9,NW,31,15:18,16.2,54,5,NE,7,1020.2,21.2,71,6,NW,15,1018.4
,2019-08-4,12.8,19.6,1.6,1.0,3.2,W,24,13:39,14.5,99,7,NNW,6,1023.1,18.3,70,7,NW,9,1020.4
,2019-08-5,12.1,18.0,0.2,1.4,4.7,NNW,24,10:23,14.7,81,3,N,11,1018.2,14.4,91,7,SSE,9,1016.6
,2019-08-6,8.2,16.4,14.4,2.8,8.6,SW,31,15:18,12.0,90,4,SE,6,1020.0,15.5,67,5,SW,15,1020.4
,2019-08-7,5.5,16.5,1.0,1.8,7.9,SW,30,12:56,11.0,82,1,SSE,6,1027.7,15.7,57,7,SSW,11,1025.9
,2019-08-8,6.4,15.8,0,2.0,3.8,SSE,20,15:08,11.7,73,6,S,6,1029.0,15.3,81,7,SW,2,1026.8
,2019-08-9,5.5,18.0,2.6,1.0,6.1,E,20,09:17,10.2,91,7,SE,7,1030.8,17.7,59,5,E,6,1028.1
,2019-08-10,4.7,19.0,0.2,1.8,9.3,NE,28,11:38,11.2,83,2,ENE,9,1030.9,18.5,56,4,ENE,9,1027.2
,2019-08-11,10.2,22.5,0,3.2,9.8,NNE,33,11:30,15.0,59,0,NE,13,1025.6,22.0,42,1,ENE,9,1021.9
,2019-08-12,10.2,24.7,0,3.2,9.8,NE,33,10:32,16.6,48,0,NE,20,1022.4,24.4,27,1,NE,13,1017.7
,2019-08-13,11.4,20.3,4.2,3.0,5.2,W,31,13:12,17.0,96,7,N,4,1015.9,18.7,61,4,WSW,15,1015.2
,2019-08-14,10.9,17.3,4.8,4.2,5.2,SW,44,15:36,14.1,94,7,NNE,6,1013.8,15.0,75,8,SW,22,1012.8
,2019-08-15,5.0,17.6,2.4,2.4,9.9,S,24,01:06,10.2,82,0, ,Calm,1024.7,17.3,44,3,SSW,11,1022.7
,2019-08-16,7.7,17.9,0,1.6,3.5,NW,54,15:46,12.9,64,7,N,13,1020.2,17.4,60,4,NW,19,1014.9
,2019-08-17,6.7,16.1,26.6,7.0,8.3,SW,52,00:10,11.3,75,1,S,2,1025.0,13.7,64,6,SW,15,1027.0
,2019-08-18,3.1,18.6,0,2.4,9.9,SE,20,12:13,11.1,76,1, ,Calm,1033.8,17.5,42,5,SSE,6,1032.3
,2019-08-19,3.3,19.5,0,2.4,10.3,NE,24,11:26,12.2,73,0,SSW,2,1037.2,18.9,34,0,NE,9,1033.3
,2019-08-20,4.6,22.8,0,2.6,10.8,NE,26,10:43,13.6,62,0,ENE,9,1035.1,22.6,31,0,ESE,6,1030.5
,2019-08-21,6.2,23.5,0,4.8,10.8,NNE,35,11:07,16.6,36,0,NNE,7,1027.2,23.1,26,0,NNE,13,1022.6
,2019-08-22,7.7,26.4,0,4.2,9.1,NW,50,13:30,17.0,30,0,NE,15,1017.3,21.7,48,7,NW,15,1014.9
,2019-08-23,10.3,15.8,18.8,3.4,6.9,SW,41,11:01,13.9,65,6,SW,17,1020.6,15.1,56,6,SW,19,1022.0
,2019-08-24,3.6,16.9,0.2,2.6,10.4,ENE,22,09:07,10.9,74,1,E,9,1028.6,15.9,48,1,E,11,1025.4
,2019-08-25,5.5,20.2,0,2.2,10.2,SSE,24,14:08,12.5,66,6,ESE,9,1026.8,19.5,35,3,SE,9,1023.3
