"Daily Weather Observations for Perth, Western Australia for September 2019"
"Prepared at 16:03 UTC on Tuesday  7 April 2020   IDCJDW6111.201909"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-09-1,11.7,19.1,0.2,4.0,3.4,WNW,52,13:36,16.5,76,7,N,15,1011.5,15.6,87,8,W,19,1011.3
,2019-09-2,9.4,20.2,13.8,3.8,5.9,NW,43,12:56,17.8,59,4,NW,11,1016.8,19.2,55,6,NW,20,1015.4
,2019-09-3,12.2,18.2,3.6,2.2,6.9,SW,31,08:50,16.2,61,1,WSW,17,1018.7,17.0,51,4,WSW,13,1017.7
,2019-09-4,11.5,17.4,1.4,3.6,4.2,SW,39,11:10,14.0,62,6,WSW,17,1022.0,15.2,55,3,SW,17,1022.1
,2019-09-5,3.2,16.9,0,3.2,10.2,SE,26,11:11,11.6,53,0,E,9,1026.8,16.5,36,0,SE,9,1023.9
,2019-09-6,4.1,20.2,0,2.4,10.6,NE,30,09:30,13.1,47,0,NE,11,1024.5,19.7,27,0,SSW,6,1021.0
,2019-09-7,2.5,20.8,0,3.4,10.5,SW,37,16:17,13.1,55,0, ,Calm,1024.9,20.7,52,1,SSW,13,1022.6
,2019-09-8,6.8,25.1,0,5.2,10.6,ENE,24,07:19,15.8,65,0,E,9,1026.3,23.6,44,0,SW,11,1021.7
,2019-09-9,8.3,33.1,0,3.6,10.6,NE,30,10:59,20.5,43,0,SE,2,1019.0,32.7,14,1,NW,9,1014.4
,2019-09-10,10.5,28.0,0,7.8,10.4,WSW,30,14:19,20.0,50,0,ENE,6,1016.3,22.3,68,1,W,15,1015.4
,2019-09-11,13.3,23.5,0,2.4,9.5,W,24,13:06,20.1,79,3,NNW,6,1022.6,22.4,63,3,W,11,1022.5
,2019-09-12,11.5,25.3,0,3.4,10.4,SW,30,15:22,19.1,75,1,NE,7,1024.4,23.3,57,1,WSW,11,1023.4
,2019-09-13,12.2,26.7,0,4.6,10.0,WSW,20,12:50,19.8,73,3,S,6,1023.9,23.9,51,7,W,7,1021.0
,2019-09-14,14.9,24.3,0,4.2,8.6,S,28,20:55,20.5,73,7,SSW,6,1023.9,22.5,69,7,SW,13,1021.6
,2019-09-15,11.3,21.7,0,3.4,10.0,SSE,28,02:27,17.5,65,1,S,6,1024.8,21.1,58,5,WSW,11,1022.2
,2019-09-16,13.3,26.6,0,6.8,9.6,E,35,02:29,18.8,53,5,ENE,15,1021.1,26.4,42,6,NNE,4,1017.4
,2019-09-17,12.0,22.6,0,3.8,7.2,SW,30,15:41,19.1,85,7,N,6,1017.3,22.0,60,6,WSW,15,1016.3
,2019-09-18,10.6,21.8,0,5.4,5.2,W,48,18:50,20.0,57,4,WNW,13,1016.0,17.4,91,7,NW,15,1012.8
,2019-09-19,9.9,15.6,11.4,1.8,8.1,SW,50,06:00,10.6,82,6,S,13,1020.7,15.2,51,6,SSW,20,1022.4
,2019-09-20,3.0,18.0,1.0,2.6,9.8,SW,31,16:44,13.2,59,1,SSE,11,1029.0,16.8,42,2,SW,15,1026.4
,2019-09-21,5.6,18.8,0,3.6,10.1,SW,31,15:37,14.5,53,0,ESE,9,1030.8,17.7,47,2,SW,17,1028.3
,2019-09-22,5.3,20.6,0,4.6,11.1,SSW,28,17:23,14.2,63,1,ESE,9,1032.5,19.9,41,1,E,7,1029.2
,2019-09-23,8.4,26.5,0,3.8,10.7,NE,28,10:16,17.3,45,2,NE,13,1028.5,25.6,23,7,NE,9,1023.7
,2019-09-24,10.0,28.4,0,5.6,11.1,NNE,37,09:39,23.6,23,1,NNE,17,1019.2,24.4,31,1,WSW,17,1017.6
,2019-09-25,9.8,23.2,0,7.6,6.2,WSW,28,13:05,14.8,99,8,NNE,7,1020.3,21.0,62,6,WSW,11,1018.8
,2019-09-26,11.3,22.8,0,4.6,9.8,SW,30,15:05,18.1,59,2,SSE,11,1021.8,20.9,41,5,WSW,13,1020.3
,2019-09-27,9.6,22.1,0,6.4,11.1,SW,31,16:38,18.0,61,1,E,11,1020.9,20.8,54,1,SSW,15,1018.5
,2019-09-28,10.4,23.4,0,4.0,11.7,SSW,30,15:32,16.4,72,0,S,9,1022.0,21.1,57,1,SW,17,1019.7
,2019-09-29,11.9,31.0,0,4.4,11.2,NE,26,13:29,20.8,57,0,E,11,1020.5,28.8,38,1,WSW,9,1016.0
,2019-09-30,14.9,24.0,0,5.6,9.8,WSW,30,14:41,21.1,69,6,W,4,1017.1,21.5,58,2,W,15,1016.8
