"Daily Weather Observations for Perth, Western Australia for October 2019"
"Prepared at 13:03 UTC on Monday 20 April 2020   IDCJDW6111.201910"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-10-1,11.7,22.5,1.8,4.8,9.8,SW,24,14:24,17.7,63,7,SE,9,1021.9,21.4,44,5,W,11,1019.8
,2019-10-2,8.5,23.5,0,5.2,11.1,SSW,26,14:20,17.9,58,7,NNE,6,1020.9,22.3,43,4,SW,15,1019.3
,2019-10-3,9.3,26.3,0,5.2,9.1,SW,28,14:59,19.1,58,5,ENE,11,1019.2,24.2,46,7,SW,19,1014.1
,2019-10-4,15.0,20.3,1.0,6.2,4.7,N,67,13:40,18.9,65,6,N,17,1009.6,15.4,95,8,N,26,1002.4
,2019-10-5,14.2,20.4,,4.0,9.5,SW,33,02:17,16.7,67,5,SSW,15,1021.3,19.2,59,7,SW,17,1021.0
,2019-10-6,11.0,21.3,0,4.2,7.0,SW,37,15:53,15.2,69,7,SSE,9,1025.9,20.3,47,6,SW,17,1023.3
,2019-10-7,10.7,25.3,0,3.2,11.5,E,28,08:03,17.0,52,0,ESE,11,1026.0,24.4,28,5,ENE,9,1021.5
,2019-10-8,12.8,30.8,0,7.2,11.5,ENE,31,09:55,21.1,42,2,ENE,13,1019.4,30.2,25,7,S,9,1014.9
,2019-10-9,12.4,28.9,0,6.6,11.6,W,22,11:41,22.1,54,1,WSW,2,1014.9,26.3,45,1,W,13,1013.9
,2019-10-10,12.6,23.9,0,6.4,9.2,WSW,30,15:19,19.2,74,5,NNE,4,1017.8,22.7,50,2,W,13,1017.3
,2019-10-11,12.6,21.1,0,5.6,0.0,SW,26,13:25,17.7,93,7,NNE,6,1017.9,19.6,64,7,SW,13,1016.5
,2019-10-12,13.5,21.2,3.2,1.0,10.2,SSW,33,15:56,16.8,65,1,SSE,15,1018.6,19.9,43,2,SW,17,1016.5
,2019-10-13,9.0,20.9,0,6.2,11.3,W,28,16:41,17.3,59,5,NE,7,1019.4,20.4,47,2,W,13,1016.8
,2019-10-14,14.1,20.8,0.8,5.6,10.7,SSW,37,14:37,17.3,59,5,S,13,1019.9,18.9,48,3,SW,20,1019.1
,2019-10-15,6.5,19.5,0,6.6,11.5,SW,37,16:24,15.1,49,4,S,17,1024.4,18.5,44,5,SSW,19,1022.7
,2019-10-16,6.8,21.2,0,5.6,11.9,SW,35,16:27,16.4,54,3,S,9,1025.8,19.9,38,1,SW,17,1022.9
,2019-10-17,9.8,22.1,0,5.2,11.6,SSW,39,15:30,16.2,56,7,S,7,1022.8,20.5,49,5,SSW,20,1019.4
,2019-10-18,9.9,25.4,0,6.8,11.7,E,31,23:34,16.9,54,2,ESE,13,1021.7,24.5,31,8,SSE,17,1018.1
,2019-10-19,12.2,32.3,0,8.0,11.6,ESE,46,01:40,19.9,48,1,E,15,1017.6,31.0,20,5,E,15,1012.6
,2019-10-20,15.9,23.9,0,8.2,9.9,NW,33,13:23,21.7,66,7,NW,11,1015.6,22.4,60,5,WNW,17,1016.1
,2019-10-21,11.9,23.9,0,6.2,11.1,W,30,13:09,19.6,62,3,SSW,9,1020.1,22.4,53,0,SW,15,1018.7
,2019-10-22,13.1,25.6,0,6.4,12.0,WSW,35,15:49,20.9,57,0,NE,2,1019.4,24.8,49,0,WSW,13,1016.5
,2019-10-23,12.8,23.5,0,7.6,8.2,WSW,37,23:42,20.8,61,5,WSW,13,1017.9,19.5,72,7,W,17,1016.1
,2019-10-24,12.9,20.4,2.0,5.6,12.2,WSW,37,16:31,16.7,55,2,SSW,11,1020.5,19.0,42,1,SSW,17,1020.4
,2019-10-25,11.3,23.4,0,4.6,11.8,SSW,33,16:18,17.9,57,4,S,13,1022.9,21.6,51,1,SW,15,1019.7
,2019-10-26,12.1,28.9,0,6.0,11.1,SSE,50,04:33,21.3,56,0,ESE,9,1021.0,26.0,45,3,SSW,19,1017.0
,2019-10-27,15.8,36.5,0,10.4,12.0,NE,35,09:27,27.3,29,0,NE,19,1014.8,34.7,12,0,WSW,13,1010.7
,2019-10-28,16.7,22.7,0,11.2,9.3,SW,39,13:27,19.7,65,7,SSW,17,1015.1,22.1,56,8,SW,22,1015.5
,2019-10-29,13.8,26.8,0,5.4,11.6,SW,28,13:44,19.7,56,7,ESE,11,1016.8,23.6,47,7,SW,13,1012.8
,2019-10-30,13.9,22.0,0,6.4,3.7,NNW,56,14:33,19.3,68,7,NW,17,1009.5,20.7,72,8,NNW,20,1005.5
,2019-10-31,11.2,17.9,9.0,5.2,8.9,WNW,52,11:08,16.7,47,4,W,19,1008.1,17.5,47,4,W,20,1008.9
