"Daily Weather Observations for Perth, Western Australia for November 2019"
"Prepared at 13:03 UTC on Sunday 19 April 2020   IDCJDW6111.201911"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-11-1,10.9,19.6,5.0,6.2,8.0,SW,52,21:41,15.5,66,7,W,19,1011.2,17.9,56,5,W,19,1011.1
,2019-11-2,12.4,21.2,13.0,6.6,11.2,SSW,35,13:18,16.9,63,6,SW,11,1018.0,20.1,48,4,WSW,17,1018.9
,2019-11-3,12.6,22.5,0,2.4,8.1,SSW,30,17:04,17.8,60,7,ESE,7,1024.3,21.5,48,3,SSW,13,1023.1
,2019-11-4,9.4,26.3,0,5.6,12.4,SW,28,15:17,19.0,59,0,NE,9,1025.1,23.5,47,0,WSW,17,1022.7
,2019-11-5,9.6,24.6,0,4.3,12.6,SW,37,14:45,19.5,61,0,SSE,9,1025.4,23.1,54,1,SW,13,1022.8
,2019-11-6,10.9,24.6,0,6.8,12.7,SSW,35,14:56,18.4,51,1,SSE,11,1024.8,22.3,52,2,SSW,19,1020.9
,2019-11-7,13.8,26.5,0,7.8,12.7,SSW,35,16:08,19.3,51,3,E,11,1022.5,25.2,49,0,SW,13,1019.3
,2019-11-8,15.0,32.4,0,10.0,12.9,ESE,33,07:12,21.3,39,0,E,13,1022.3,31.6,18,0,ESE,11,1017.5
,2019-11-9,19.9,39.1,0,12.6,11.8,ENE,43,09:30,29.6,21,2,NE,19,1013.1,33.9,17,6,NW,17,1008.0
,2019-11-10,19.4,24.0,0,10.0,9.0,NW,33,07:46,20.6,78,8,WNW,11,1012.3,22.6,61,2,W,11,1012.5
,2019-11-11,15.2,29.7,0,5.6,11.6,ESE,37,23:46,19.6,55,1,E,11,1016.8,28.8,26,1,SE,13,1014.9
,2019-11-12,13.5,30.3,0,9.8,12.8,E,37,06:54,19.5,41,0,ESE,20,1022.0,29.4,26,0,SE,13,1019.3
,2019-11-13,16.2,35.7,0,12.0,12.7,E,31,01:18,24.8,35,0,E,9,1020.5,34.9,19,0,SSW,15,1016.6
,2019-11-14,16.4,37.7,0,11.4,12.7,SW,33,14:09,30.8,21,0,ESE,4,1016.1,35.3,18,1,SSW,13,1012.4
,2019-11-15,19.8,38.4,0,14.8,12.5,E,37,06:56,26.0,36,1,SE,13,1014.5,37.5,16,1,SSE,9,1011.1
,2019-11-16,19.1,40.4,0,14.0,12.7,E,31,06:13,27.5,41,1,E,11,1014.1,32.6,34,0,W,13,1012.5
,2019-11-17,17.1,28.6,0,9.0,10.4,SW,26,12:01,24.7,66,1,SW,7,1016.8,27.0,53,0,W,13,1015.9
,2019-11-18,17.5,32.0,0,9.8,11.3,SW,37,15:22,25.9,40,1,SE,9,1016.2,28.0,47,7,SSW,19,1012.6
,2019-11-19,17.6,25.4,0.2,8.8,9.2,SW,39,15:27,22.8,50,7,W,9,1009.7,22.1,59,6,SW,19,1010.0
,2019-11-20,15.7,20.8,0.2,6.8,12.0,WSW,52,10:58,18.5,48,4,SW,20,1015.8,19.8,35,1,SW,19,1017.1
,2019-11-21,8.8,23.8,0,9.0,13.1,SSW,35,16:30,18.9,42,1,SE,6,1020.9,21.8,35,1,SW,19,1018.1
,2019-11-22,12.7,26.2,0,10.0,9.7,SW,33,16:53,18.1,60,6,SE,11,1020.6,24.1,50,1,WSW,15,1018.2
,2019-11-23,16.4,30.2,0,7.6,13.2,SW,39,15:34,23.8,46,0,E,9,1018.9,28.4,36,1,SW,17,1015.4
,2019-11-24,16.1,28.1,0,11.2,10.2,SSW,44,13:34,24.5,41,6,SSE,11,1015.2,24.8,43,7,SSW,20,1013.4
,2019-11-25,16.2,29.0,0,9.0,13.0,SW,31,15:12,22.4,54,1,E,11,1018.0,25.9,44,0,SW,13,1015.7
,2019-11-26,14.2,34.4,0,9.2,13.1,SSW,35,17:06,23.7,38,0,E,9,1017.1,32.5,21,0,SSW,15,1012.2
,2019-11-27,17.6,34.2,0,11.6,12.6,SE,39,22:27,24.9,26,2,SE,13,1015.4,33.1,20,5,SSW,13,1012.0
,2019-11-28,16.8,29.4,0,10.0,12.8,SSW,43,17:16,21.3,50,1,SE,13,1018.3,27.8,34,0,SW,19,1015.7
,2019-11-29,13.0,27.8,0,10.0,13.3,SE,39,23:47,19.3,45,1,ESE,11,1024.7,27.0,25,0,SE,17,1021.3
,2019-11-30,13.1,29.6,0,10.4,13.2,ESE,37,06:11,18.8,39,0,ESE,17,1027.8,28.3,18,0,SE,15,1023.4
