"Daily Weather Observations for Perth, Western Australia for December 2019"
"Prepared at 13:03 UTC on Saturday 18 April 2020   IDCJDW6111.201912"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2019-12-1,13.6,32.9,0,9.8,13.3,ESE,39,00:03,21.5,40,1,E,13,1025.9,32.1,14,0,ESE,11,1021.3
,2019-12-2,19.3,35.6,0,10.2,13.2,SW,33,17:42,26.8,44,0,E,13,1019.9,34.8,25,0,S,11,1015.3
,2019-12-3,20.6,41.6,0,13.2,13.2,SW,35,13:49,33.3,22,0,NE,20,1011.8,37.3,16,1,WSW,20,1009.3
,2019-12-4,19.4,37.6,0,11.6,12.8,SW,37,15:03,31.5,30,5,S,7,1012.1,33.0,28,2,SW,20,1011.4
,2019-12-5,19.5,39.2,0,13.8,13.1,S,33,13:16,30.2,32,0,ESE,9,1014.7,37.1,21,0,SW,15,1010.9
,2019-12-6,24.6,38.9,0,15.8,9.7,WNW,37,14:41,32.5,30,8,ENE,17,1008.3,31.1,35,7,WNW,20,1006.1
,2019-12-7,18.4,26.5,0,10.4,8.6,WNW,41,10:44,23.6,72,7,NW,17,1010.2,22.8,61,7,W,13,1011.2
,2019-12-8,16.2,25.1,0.4,6.0,13.2,SW,39,14:21,21.0,52,2,S,15,1019.0,22.6,46,1,SW,22,1019.1
,2019-12-9,13.0,29.9,0,9.8,13.2,SSW,37,15:58,22.1,47,0,SE,9,1022.0,26.3,42,0,SW,19,1018.9
,2019-12-10,13.8,36.3,0,9.6,12.5,S,41,21:25,24.5,43,2,ESE,7,1019.1,33.0,24,4,SSW,17,1015.0
,2019-12-11,18.5,37.6,0,12.0,12.1,SE,39,14:49,26.5,34,0,ENE,15,1017.2,36.7,12,1,SE,15,1014.1
,2019-12-12,20.0,39.0,0,17.6,13.2,E,37,04:49,28.5,32,1,E,11,1018.4,37.5,10,2,ESE,11,1015.4
,2019-12-13,20.7,40.1,0,15.6,13.2,SSW,41,18:57,32.9,16,1,NE,19,1016.5,38.2,11,0,SSW,19,1013.0
,2019-12-14,21.1,41.0,0,15.2,13.2,SSW,37,14:58,33.9,18,0,NE,13,1011.2,37.2,10,0,SSW,20,1008.5
,2019-12-15,21.8,40.9,0,17.8,12.8,SW,39,14:22,33.4,19,0,ENE,13,1005.6,36.2,18,1,SSW,20,1004.0
,2019-12-16,21.6,38.5,0,15.0,13.0,SSW,50,10:11,32.0,21,1,S,9,1006.8,34.6,18,1,W,15,1006.0
,2019-12-17,19.8,34.3,0,12.0,12.3,SW,39,16:30,31.3,26,1,S,6,1010.7,30.8,37,3,SW,19,1010.0
,2019-12-18,20.3,,0,13.6,13.2,,,,28.8,33,0,ENE,6,1010.6,31.6,24,0,WNW,13,1009.1
,2019-12-19,18.9,25.1,,9.8,7.6,WSW,46,13:50,24.2,65,8,NNW,11,1011.0,24.0,49,5,W,19,1012.6
,2019-12-20,17.4,25.8,1.8,7.6,7.6,SSW,37,14:20,21.4,59,6,SSW,9,1018.7,24.5,45,1,SSW,19,1017.1
,2019-12-21,15.6,34.5,0,6.8,12.9,SSW,37,17:17,24.8,42,0,ENE,13,1015.7,29.3,41,0,WSW,19,1011.9
,2019-12-22,18.3,28.4,0,10.8,7.8,SSW,33,15:07,22.1,63,7,SSW,9,1013.6,25.8,61,7,WSW,17,1012.1
,2019-12-23,16.4,31.0,0,7.8,12.9,SW,33,16:35,25.8,49,3,ESE,7,1014.3,28.6,46,6,WSW,17,1013.0
,2019-12-24,19.0,32.5,0,10.2,12.7,SW,37,16:32,25.3,44,1,S,9,1016.8,29.9,42,1,SW,19,1014.2
,2019-12-25,21.5,35.7,0,10.8,9.4,E,30,03:00,26.2,42,7,ESE,7,1013.7,34.4,30,6,WSW,13,1010.9
,2019-12-26,18.9,28.5,0,7.4,9.8,SSW,31,17:48,24.7,71,1,NE,9,1013.6,27.7,56,7,W,13,1012.3
,2019-12-27,18.6,27.3,0,10.2,13.0,SW,41,15:33,23.1,58,2,SSW,13,1016.9,25.3,45,1,SSW,24,1015.4
,2019-12-28,16.1,27.4,0,10.8,13.3,SSW,35,15:53,22.5,53,0,S,13,1016.9,25.8,50,0,SW,19,1014.4
,2019-12-29,16.7,25.8,0,7.6,11.5,SW,37,13:40,24.1,56,3,W,11,1013.1,24.8,49,7,WSW,19,1013.7
,2019-12-30,15.8,24.9,0.2,8.8,12.3,WSW,43,16:35,21.3,45,6,S,13,1018.6,23.1,38,0,SW,20,1017.6
,2019-12-31,12.9,29.6,0,10.6,13.2,SW,37,17:39,22.6,44,0,SE,11,1017.5,27.4,40,0,SW,17,1014.1
