"Daily Weather Observations for Perth, Western Australia for January 2020"
"Prepared at 13:03 UTC on Friday 17 April 2020   IDCJDW6111.202001"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-01-1,17.3,30.5,0,11.8,13.2,SW,41,16:32,25.6,40,1,ENE,7,1012.8,27.5,46,0,SSW,19,1010.7
,2020-01-2,17.3,24.2,0,11.4,9.1,SSW,44,15:07,24.1,49,6,SSW,13,1013.3,22.8,53,6,SW,19,1013.1
,2020-01-3,13.5,22.1,1.6,7.2,11.9,SW,44,15:44,18.1,57,5,S,15,1019.6,20.4,42,3,SSW,24,1017.5
,2020-01-4,12.7,27.6,0.2,10.0,13.2,SSW,37,16:12,18.7,38,0,E,13,1022.0,24.5,28,1,SW,13,1017.2
,2020-01-5,13.0,35.3,0,9.8,13.2,NE,35,08:46,27.6,27,0,NE,20,1014.0,33.9,13,0,WSW,17,1011.3
,2020-01-6,15.8,33.6,0,11.2,13.3,SW,39,17:29,27.7,29,1,SSE,7,1011.3,31.7,28,1,WSW,15,1009.5
,2020-01-7,15.9,31.7,0,12.2,13.0,SSW,31,22:50,26.0,34,1,N,6,1007.8,30.0,29,1,SW,13,1006.2
,2020-01-8,18.6,28.9,0,10.8,13.2,SW,44,14:55,24.8,53,0,SSW,17,1007.8,26.3,40,1,SW,24,1007.2
,2020-01-9,17.3,26.0,0,11.0,12.7,SW,48,14:43,22.0,48,1,SSW,17,1012.9,24.0,47,0,SW,28,1011.4
,2020-01-10,15.8,32.1,0,14.6,13.1,E,39,08:13,21.6,41,0,ESE,13,1019.5,31.2,16,0,E,15,1016.5
