"Daily Weather Observations for Perth, Western Australia for April 2020"
"Prepared at 13:03 UTC on Saturday  2 May 2020   IDCJDW6111.202004"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-04-1,13.0,27.1,0,6.4,6.6,SSW,30,17:39,20.2,62,6,E,6,1014.8,24.2,49,7,WSW,13,1010.9
,2020-04-2,18.0,24.1,0.2,6.6,7.1,SW,43,13:56,20.1,68,7,SSE,13,1013.2,23.5,46,1,SW,17,1012.3
,2020-04-3,8.9,23.7,0,6.8,10.4,SSW,30,16:30,15.9,55,2,SE,15,1021.5,21.9,39,1,SW,17,1017.9
,2020-04-4,11.5,24.6,0,8.2,6.1,ESE,30,03:03,17.7,49,7,E,13,1020.4,24.2,29,7,E,9,1017.8
,2020-04-5,15.1,26.5,1.4,3.6,2.0,ESE,35,18:32,18.5,66,8,E,7,1017.3,25.3,37,7,E,11,1013.9
,2020-04-6,18.5,31.8,0,7.4,9.1,ESE,41,22:00,22.5,37,4,E,15,1014.8,31.2,20,2,E,17,1010.6
,2020-04-7,19.0,33.6,0,10.8,9.9,NNE,39,10:33,25.1,41,3,NE,17,1013.6,32.6,25,4,NE,13,1009.2
,2020-04-8,17.1,32.6,0,7.0,10.5,N,35,10:39,27.1,34,4,NE,15,1012.5,29.0,43,2,W,13,1011.3
,2020-04-9,15.7,34.0,0,6.6,9.5,SW,28,16:28,25.5,49,3,WSW,2,1016.0,32.0,33,2,WSW,13,1014.0
,2020-04-10,19.6,35.6,0,6.6,10.5,WSW,20,14:10,26.4,61,1,ESE,6,1016.9,34.2,19,5,W,11,1015.0
,2020-04-11,21.2,39.5,0,8.6,9.8,W,39,14:51,26.8,49,1,ENE,11,1015.9,32.8,22,7,W,20,1013.5
,2020-04-12,21.7,26.2,0,9.2,2.1,W,20,11:34,24.6,81,8,S,2,1015.6,24.3,71,7,SW,11,1014.7
,2020-04-13,15.2,26.7,0,1.8,9.7,SW,24,13:21,22.4,73,1, ,Calm,1018.1,25.2,44,4,WSW,13,1015.7
,2020-04-14,15.7,24.9,0,5.4,8.6,SSW,31,13:25,20.3,72,2,SSW,6,1019.2,23.6,44,6,SW,13,1017.8
,2020-04-15,16.3,24.2,0,5.6,7.7,SW,33,11:55,22.0,50,3,SW,15,1021.8,23.3,55,7,SW,17,1020.6
,2020-04-16,10.7,25.1,0,4.2,8.9,SSW,31,17:06,17.5,67,1,SE,7,1023.7,24.7,40,7,S,7,1018.9
,2020-04-17,12.7,27.4,0,4.4,5.8,SW,20,15:26,18.6,50,7,E,9,1019.1,25.5,40,6,SW,9,1015.7
,2020-04-18,11.9,22.1,0,4.6,0.7,WSW,22,20:49,17.7,66,7, ,Calm,1013.2,21.2,73,7,S,13,1009.9
,2020-04-19,17.4,22.7,6.4,1.4,4.9,WSW,43,09:51,20.1,71,7,WSW,15,1012.2,20.4,55,7,SW,19,1013.2
,2020-04-20,10.3,24.4,0,3.6,7.3,WNW,41,11:21,16.4,75,6,NE,4,1015.3,22.6,54,4,W,17,1014.5
,2020-04-21,15.1,24.5,0.4,3.8,7.4,NNW,24,12:14,19.4,77,3,NNE,9,1017.0,23.1,58,7,NW,11,1015.5
,2020-04-22,13.8,24.6,0.2,3.0,3.3,W,31,11:33,19.1,74,7,NNE,7,1017.3,21.2,76,7,W,17,1016.1
,2020-04-23,14.1,25.1,1.0,2.4,8.1,SW,24,14:36,19.7,92,6,NE,4,1021.5,23.7,45,2,SW,13,1018.4
,2020-04-24,13.7,22.8,0,4.0,2.9,N,39,09:54,18.9,71,5,N,4,1018.7,22.2,58,7,WSW,9,1016.6
,2020-04-25,16.9,23.8,2.6,2.2,7.5,S,31,11:33,20.0,88,7,SSE,2,1020.9,23.6,49,7,SW,15,1020.9
,2020-04-26,11.2,26.4,0.2,2.2,9.8,SW,22,14:13,18.8,70,1,E,7,1024.0,25.0,47,1,SSW,13,1020.3
,2020-04-27,11.2,23.6,0,4.0,7.3,SW,39,14:26,15.4,80,8, ,Calm,1019.6,21.0,61,2,SW,17,1017.6
,2020-04-28,14.0,20.8,0.8,4.0,10.0,SSE,35,04:17,16.6,60,0,SSE,17,1022.9,19.9,41,0,SW,17,1022.2
,2020-04-29,10.9,21.8,0,5.6,10.0,ESE,26,10:39,14.0,52,0,SSE,7,1029.7,21.4,29,0,ESE,11,1026.5
,2020-04-30,9.4,21.4,0,5.0,10.0,NE,35,09:26,14.9,51,1,ESE,9,1032.0,21.2,29,1,ENE,13,1026.6
