"Daily Weather Observations for Perth, Western Australia for May 2020"
"Prepared at 13:03 UTC on Sunday  7 June 2020   IDCJDW6111.202005"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-05-1,8.5,24.1,0,7.4,9.2,NE,44,09:55,16.5,43,1,NE,17,1025.9,23.3,26,1,E,9,1020.6
,2020-05-2,9.2,28.3,0,5.4,9.9,NE,30,09:18,18.9,36,1,NE,13,1019.2,28.0,17,1,NE,6,1015.8
,2020-05-3,12.3,28.9,0,4.8,9.3,WNW,31,14:27,22.2,24,1,NNE,11,1016.7,25.0,62,6,NW,13,1014.1
,2020-05-4,16.9,23.4,0.6,3.6,0.1,NW,33,12:10,19.6,96,7,NE,9,1013.4,19.7,89,8,NNW,7,1013.7
,2020-05-5,15.5,23.1,13.6,4.0,7.4,W,57,19:41,17.6,91,1,NNE,13,1011.8,20.9,65,6,NNW,24,1006.1
,2020-05-6,11.1,16.9,9.2,5.4,5.4,SW,70,15:32,12.3,83,4,W,17,1014.1,14.9,60,5,WSW,15,1016.5
,2020-05-7,10.0,18.8,3.0,4.0,2.8,W,28,14:28,12.9,89,7,NE,6,1021.9,17.7,66,7,NW,7,1019.8
,2020-05-8,12.0,18.8,5.8,1.6,9.4,SSE,28,10:23,14.5,74,1,SE,13,1023.5,18.0,43,2,S,15,1023.1
,2020-05-9,5.1,19.5,0,3.6,9.6,NNE,20,11:10,12.9,70,1,ENE,4,1027.4,18.7,41,0,E,6,1024.2
,2020-05-10,5.5,24.0,0,3.4,9.7,S,26,14:21,14.5,56,0,E,9,1023.6,22.0,43,1,SSW,9,1020.3
