"Daily Weather Observations for Perth, Western Australia for July 2020"
"Prepared at 13:03 UTC on Friday 14 August 2020   IDCJDW6111.202007"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-07-1,12.0,16.3,3.0,2.4,2.6,,,,13.3,74,7,SSE,9,1021.8,15.2,61,6,SSE,11,1021.5
,2020-07-2,4.3,17.8,,2.2,9.1,SSE,22,13:42,10.5,85,0,SSE,2,1027.9,17.5,53,1,ESE,7,1025.5
,2020-07-3,7.1,19.5,0,2.6,9.3,NE,31,11:04,13.1,67,0,NE,13,1030.2,19.1,50,0,ENE,11,1026.8
,2020-07-4,12.3,22.3,0,2.0,9.3,NNE,33,09:50,14.8,51,6,NE,11,1025.7,21.9,35,7,NNE,11,1022.1
,2020-07-5,10.4,23.1,0,2.2,5.0,NNE,22,13:08,15.0,49,3,NE,9,1018.9,22.7,32,7,N,7,1015.2
,2020-07-6,12.9,19.4,6.8,2.0,5.6,WNW,43,13:04,14.9,93,5,N,7,1017.0,15.2,85,7,WNW,15,1017.4
,2020-07-7,12.2,18.0,6.2,2.4,5.6,SW,30,11:34,15.0,74,6,WSW,15,1023.2,15.2,80,7,W,11,1022.1
,2020-07-8,10.7,17.1,4.6,0.4,3.2,SSW,22,12:48,12.5,99,2,N,2,1024.7,15.5,70,6,SE,9,1022.8
,2020-07-9,6.0,17.1,0,1.8,9.1,S,22,15:54,10.8,78,0,SE,9,1027.5,16.7,51,1,SSE,7,1025.8
,2020-07-10,4.8,16.2,0,1.4,9.2,E,24,10:19,9.6,77,0,ESE,9,1031.8,15.5,48,1,ESE,11,1028.4
,2020-07-11,4.8,17.5,0,2.0,9.2,N,31,10:38,10.7,64,0,E,9,1030.1,17.1,44,0,NE,11,1026.2
,2020-07-12,7.3,22.3,0,2.2,9.3,NE,39,09:29,11.5,50,0,NE,13,1021.0,22.3,26,0,N,9,1016.4
,2020-07-13,11.3,19.2,3.4,3.4,4.6,NNW,39,23:07,14.2,93,6,N,9,1014.9,17.2,89,7,NW,11,1012.1
,2020-07-14,12.4,18.0,25.6,1.4,7.9,WNW,59,01:51,14.8,58,5,WSW,17,1013.9,15.7,65,6,W,13,1015.7
,2020-07-15,9.2,17.7,1.8,2.8,2.7,NNW,30,11:56,12.6,80,6,NNE,9,1018.0,16.6,68,7,N,13,1015.4
,2020-07-16,12.5,20.2,1.0,0.6,3.1,WNW,39,13:16,14.6,88,4,N,13,1012.1,18.0,83,7,WNW,11,1008.9
,2020-07-17,11.6,15.0,12.6,2.0,5.6,SSW,48,11:13,11.6,80,8,WSW,24,1012.9,13.3,68,3,SW,15,1014.9
,2020-07-18,7.3,18.3,1.4,1.4,5.9,SSW,28,15:33,11.4,77,4,NNE,9,1021.6,16.2,73,6,SW,9,1021.1
,2020-07-19,4.4,15.4,0.4,1.4,1.1,SE,20,13:22,8.6,99,7, ,Calm,1027.8,15.1,59,7,ESE,7,1026.1
,2020-07-20,5.1,18.6,0,1.8,9.2,NNE,26,11:37,11.9,69,1,ESE,7,1027.2,18.1,46,2,ENE,11,1023.7
,2020-07-21,5.2,20.6,0,2.8,5.8,NNE,37,11:36,13.9,57,6,NNE,17,1022.2,20.3,45,7,NNE,15,1019.0
,2020-07-22,8.1,23.5,0,0.6,9.4,WNW,35,22:20,14.6,67,0,N,9,1018.8,23.0,38,0,NNW,13,1016.2
,2020-07-23,14.5,19.2,1.6,3.4,7.1,SSW,46,11:21,17.4,57,1,WSW,20,1020.4,18.2,53,3,SW,20,1021.3
,2020-07-24,4.4,18.9,0,3.6,9.4,NE,26,13:44,11.5,81,1,NE,9,1027.3,18.2,47,1,ENE,11,1024.6
,2020-07-25,5.1,22.4,0,2.2,5.8,NW,43,14:46,13.9,53,5,NNE,13,1022.0,21.2,56,6,NW,15,1020.0
,2020-07-26,13.9,20.8,2.2,1.2,3.3,SE,44,04:24,16.9,96,1,ESE,7,1024.7,20.6,72,7,NE,9,1022.3
,2020-07-27,14.1,24.4,4.8,3.2,7.3,NNW,50,13:16,19.1,62,5,N,13,1017.9,22.8,59,7,NNW,20,1015.2
,2020-07-28,11.5,19.3,8.0,2.8,4.4,S,28,16:50,15.0,98,5,NW,2,1023.4,18.7,61,6,SW,11,1022.9
,2020-07-29,11.6,21.0,0,1.2,8.9,NNE,20,11:08,15.0,71,1,S,7,1026.1,20.1,51,1,NNW,7,1023.2
,2020-07-30,6.5,21.1,0,2.6,8.7,SW,30,16:21,13.4,72,0,NW,7,1021.4,19.4,57,5,SW,17,1018.2
,2020-07-31,8.7,19.8,0,2.2,8.1,S,28,20:33,14.2,87,2,SSW,2,1021.7,18.7,59,1,SSW,11,1020.9
