"Daily Weather Observations for Perth, Western Australia for August 2020"
"Prepared at 13:03 UTC on Monday 21 September 2020   IDCJDW6111.202008"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-08-1,7.2,19.2,0,2.2,8.9,ENE,22,09:51,11.7,83,1,SSE,4,1027.1,18.0,55,3,S,9,1023.3
,2020-08-2,5.2,19.2,0,2.4,3.8,SSW,41,22:07,9.9,91,6, ,Calm,1021.7,17.5,55,4,WSW,11,1016.4
,2020-08-3,6.9,12.1,4.8,1.6,2.6,NNE,31,17:20,10.9,88,5,ENE,9,1010.4,10.8,92,6,NNE,13,1006.8
,2020-08-4,6.9,16.0,10.2,0.6,9.7,SSW,28,21:06,10.5,80,1,S,9,1011.3,15.6,57,4,ESE,9,1011.4
,2020-08-5,10.5,19.9,0,3.2,9.7,SSE,30,12:13,13.6,76,2,SSW,13,1020.1,19.3,51,2,SSE,15,1019.9
,2020-08-6,5.4,18.9,0,3.2,9.8,ENE,24,10:52,12.4,69,1,SE,6,1027.5,18.7,44,5,E,9,1024.8
,2020-08-7,7.1,16.3,0,3.6,5.5,NE,33,13:17,10.8,76,7,ENE,9,1026.6,15.7,53,7,ENE,9,1022.0
,2020-08-8,10.8,21.7,0,3.8,5.6,NE,48,12:17,13.2,53,7,NE,19,1017.8,21.5,34,7,NE,19,1010.7
,2020-08-9,12.6,16.8,4.4,3.0,0.8,NNE,78,07:55,12.7,91,7,NNE,24,1000.2,15.7,81,3,N,17,996.6
,2020-08-10,11.3,19.1,31.0,1.6,5.4,WNW,48,04:23,13.3,84,3,SW,13,1000.7,17.3,67,3,W,19,1001.4
