"Daily Weather Observations for Perth, Western Australia for September 2020"
"Prepared at 08:20 UTC on Friday 25 September 2020   IDCJDW6111.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,11.4,17.0,15.0,4.0,6.2,SW,63,16:00,11.4,84,7,WSW,20,1012.6,15.7,54,6,WSW,22,1012.3
,2020-09-2,11.1,19.5,5.8,3.6,8.9,WSW,52,11:53,16.9,64,4,WSW,19,1014.1,17.0,56,6,SW,24,1016.0
,2020-09-3,9.6,20.2,0.8,2.8,7.6,WSW,39,13:58,15.4,75,2,E,2,1020.3,18.6,57,7,WNW,11,1020.2
,2020-09-4,15.4,21.6,0,2.4,5.0,WSW,24,13:30,17.9,65,7,NW,6,1021.7,20.7,55,2,W,11,1019.5
,2020-09-5,9.3,22.2,0,2.6,9.8,NNW,30,14:33,15.5,82,4,N,6,1016.4,20.4,60,3,WNW,13,1012.6
,2020-09-6,15.5,21.1,0.2,3.4,0.0,NW,54,14:30,19.6,75,8,NW,17,1005.9,20.1,74,8,NW,22,1003.7
,2020-09-7,12.0,18.9,24.8,1.0,7.0,WSW,43,11:23,16.0,56,6,SW,22,1014.0,17.2,55,7,W,9,1016.2
,2020-09-8,10.3,20.4,3.2,2.8,4.8,NNE,22,11:33,15.5,70,6,N,7,1024.0,20.0,46,5,NW,7,1021.7
,2020-09-9,7.2,24.8,0,2.8,9.8,NW,46,12:20,18.4,58,6,NE,15,1013.7,19.8,65,6,WNW,15,1011.4
,2020-09-10,14.3,19.0,2.2,3.2,9.0,WSW,50,02:02,16.1,58,2,SW,17,1015.5,18.0,48,3,SW,15,1016.8
,2020-09-11,8.1,19.8,0,4.2,9.7,SSW,30,14:32,14.9,59,1,ENE,7,1023.5,18.4,39,5,SSW,17,1021.4
,2020-09-12,5.6,20.2,0,3.8,10.3,SSW,35,14:29,14.7,63,1,SE,9,1029.0,19.1,49,1,SSW,19,1027.1
,2020-09-13,6.4,24.1,0,4.8,10.5,SW,35,15:50,17.2,59,0,S,6,1029.4,21.6,45,1,SW,19,1025.1
,2020-09-14,11.1,26.9,0,5.8,7.8,NE,30,10:01,17.8,47,3,ENE,11,1023.6,26.3,29,2,SSE,11,1018.4
,2020-09-15,10.7,26.9,0,4.6,10.5,SW,41,15:39,21.4,38,0,SE,4,1017.7,25.1,47,0,SW,19,1015.0
,2020-09-16,13.0,20.9,0,5.4,9.5,SSE,37,07:14,16.6,59,2,SSE,19,1022.4,19.7,55,5,SSW,19,1020.6
,2020-09-17,11.5,20.4,0,5.4,10.1,E,37,11:49,13.7,63,6,ESE,15,1027.0,19.5,39,4,ENE,11,1022.5
,2020-09-18,8.0,22.7,0,5.6,10.5,NNW,33,13:08,14.9,59,0,NE,15,1018.6,21.8,32,1,W,13,1012.6
,2020-09-19,10.2,18.1,3.6,4.0,7.3,SW,65,23:35,17.0,54,7,WSW,20,1009.4,16.8,45,6,WSW,26,1009.9
,2020-09-20,9.6,16.9,5.6,5.2,7.9,SW,61,00:06,14.3,59,7,WSW,15,1015.9,13.6,73,7,SW,22,1017.2
,2020-09-21,11.1,18.4,3.4,3.0,6.3,SSW,30,00:03,15.2,58,5,S,11,1022.7,17.4,49,7,WSW,13,1021.8
,2020-09-22,10.2,20.3,1.2,3.6,3.5,SSW,24,16:38,15.2,92,4,E,9,1024.2,19.0,60,2,SSW,7,1022.6
,2020-09-23,7.2,26.5,0.4,2.8,10.4,SSE,24,19:06,17.3,55,0,E,7,1025.0,25.6,30,1,ENE,9,1021.2
,2020-09-24,13.2,30.0,0,6.0,9.7,E,46,21:17,18.9,46,6,ENE,17,1019.3,28.9,19,1,NE,19,1014.3
,2020-09-25,13.9,,0,8.6,,,,,18.0,53,1,ENE,17,1014.8,22.6,54,1,WSW,13,1012.7
