"Daily Weather Observations for Perth, Western Australia for October 2020"
"Prepared at 13:03 UTC on Sunday 17 January 2021   IDCJDW6111.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,16.9,21.6,0,0.8,5.4,WSW,37,12:27,20.8,55,3,W,13,1014.6,20.4,52,6,W,15,1013.5
,2020-10-2,13.7,16.7,2.4,4.8,0.8,SW,39,14:45,14.3,89,7,SSW,15,1015.7,15.8,50,7,SW,22,1016.9
,2020-10-3,6.6,17.6,2.8,2.8,11.4,SW,41,16:16,12.9,54,1,S,15,1027.1,16.9,47,2,SSW,20,1025.9
,2020-10-4,8.3,20.4,0,3.4,11.3,SSE,39,09:00,15.2,54,1,SSE,19,1031.5,18.8,49,4,SSW,20,1029.3
,2020-10-5,8.2,20.7,0,8.0,11.7,ESE,31,09:04,15.0,47,0,E,11,1034.2,19.8,33,1,S,9,1030.0
,2020-10-6,6.8,22.2,0,6.2,11.5,NE,28,08:24,15.7,45,4,NE,13,1028.0,21.1,28,3,WSW,13,1022.0
,2020-10-7,7.9,23.2,0,5.4,8.6,NNW,35,11:37,16.9,41,3,N,11,1015.7,21.4,47,5,WNW,17,1012.4
,2020-10-8,10.8,21.8,7.4,5.6,10.8,W,26,12:27,18.8,64,5,NNE,4,1015.4,20.9,48,2,SW,13,1014.5
,2020-10-9,8.8,23.1,0,3.8,11.1,SW,28,13:33,18.8,56,1,N,9,1018.2,22.4,44,1,WSW,13,1015.8
,2020-10-10,10.1,22.6,0,4.4,9.7,SSE,28,14:19,16.4,63,7,S,6,1018.0,21.5,48,2,S,17,1015.3
,2020-10-11,9.9,24.9,0,6.0,11.8,SSE,41,05:42,19.3,50,0,SE,7,1018.6,22.2,55,0,SSW,20,1015.8
,2020-10-12,11.2,28.2,0,7.0,11.7,SSW,39,15:17,19.8,47,0,E,13,1019.2,25.3,48,0,SSW,20,1015.1
,2020-10-13,13.5,30.2,0,11.8,11.4,SW,30,17:15,22.9,48,3,ESE,9,1014.7,27.1,40,7,WSW,15,1012.2
,2020-10-14,15.2,23.2,0,5.6,7.1,SW,37,16:35,19.3,73,7,SW,9,1015.9,22.4,53,1,SSW,19,1015.1
,2020-10-15,13.8,22.5,0,5.0,5.4,SSW,37,16:29,16.8,68,7,SE,11,1020.1,20.2,58,2,SSW,20,1016.8
,2020-10-16,13.0,24.6,0,5.4,11.1,SSW,43,16:05,19.6,60,7,ESE,9,1018.9,22.3,52,4,SSW,19,1015.6
,2020-10-17,13.0,27.2,0,7.8,12.0,ESE,31,14:19,18.7,53,1,ENE,13,1018.3,26.9,29,1,E,13,1013.3
,2020-10-18,14.3,30.0,0,6.6,12.0,E,33,11:57,20.6,47,1,ENE,17,1012.6,28.8,28,2,N,11,1009.7
,2020-10-19,14.8,28.6,0,7.0,12.3,WSW,31,14:13,22.7,42,1,WNW,6,1011.4,24.6,39,1,SW,19,1010.0
,2020-10-20,15.6,25.4,0,7.0,11.5,SW,43,16:44,20.4,61,0,E,7,1014.6,22.5,56,2,SW,24,1012.3
,2020-10-21,14.9,25.3,0,7.2,11.7,SSW,43,13:49,21.2,53,4,S,7,1014.0,23.7,44,1,SSW,19,1012.1
,2020-10-22,12.4,23.2,0,6.8,12.4,SSW,39,15:46,17.7,58,1,SSE,9,1018.2,22.6,43,1,SSW,19,1015.8
,2020-10-23,13.1,25.9,0,8.0,12.4,SSW,41,15:14,20.1,52,0,E,11,1018.2,24.4,43,2,SSW,19,1015.1
,2020-10-24,12.9,30.0,0,8.6,12.4,E,31,07:10,20.6,48,0,E,9,1017.9,27.9,29,1,SSE,11,1014.2
,2020-10-25,16.0,34.9,0,11.2,12.4,NE,37,08:21,25.3,26,2,NE,17,1013.9,33.8,14,3,NE,13,1008.5
,2020-10-26,15.3,26.5,0,7.2,12.4,SW,35,13:02,23.5,54,0,WSW,11,1012.0,23.8,54,1,SW,17,1012.3
,2020-10-27,15.1,24.5,0,7.8,11.3,WNW,28,10:31,21.9,63,2,WNW,7,1014.6,22.9,48,2,W,15,1013.7
,2020-10-28,14.9,25.1,0,7.2,10.4,SSW,37,16:54,20.6,53,2,SSE,13,1019.6,22.9,43,0,SSW,17,1017.9
,2020-10-29,14.0,31.6,0,9.0,12.5,E,35,06:40,21.3,48,0,E,13,1021.1,30.9,25,0,ESE,9,1015.7
,2020-10-30,17.0,36.6,0,11.0,11.7,NE,33,10:56,26.7,27,3,ENE,15,1014.3,34.8,21,1,WSW,13,1010.5
,2020-10-31,17.6,25.3,0,10.4,4.8,SW,30,10:54,24.7,52,6,W,9,1006.3,21.1,63,8,WNW,11,1005.1
