"Daily Weather Observations for Perth, Western Australia for November 2020"
"Prepared at 16:03 UTC on Saturday 16 January 2021   IDCJDW6111.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,15.0,18.4,20.6,5.8,0.0,NNE,26,12:33,15.2,97,8,N,7,1005.5,14.8,88,8,NE,13,1006.1
,2020-11-2,13.6,22.2,11.6,0.8,6.7,SW,31,17:35,18.1,67,5,NNE,11,1008.6,21.1,53,6,WNW,13,1009.2
,2020-11-3,13.0,22.8,3.8,3.2,10.1,SSW,37,16:26,18.2,69,7,SSE,11,1021.7,21.6,49,3,SW,20,1021.4
,2020-11-4,13.7,25.9,0.2,5.8,8.6,ENE,28,09:08,18.8,54,7,E,13,1027.1,25.7,36,7,ESE,11,1022.8
,2020-11-5,13.1,30.5,0,8.0,11.7,NE,35,00:19,20.7,48,1,ENE,13,1022.0,29.9,30,1,SE,11,1016.4
,2020-11-6,16.0,29.2,0,9.8,11.5,SE,37,14:04,22.4,49,1,E,13,1018.2,28.3,34,4,E,15,1015.3
,2020-11-7,16.2,29.6,0,9.8,12.8,ENE,31,06:10,22.3,51,0,ENE,13,1013.9,27.5,38,1,WSW,15,1010.5
,2020-11-8,14.8,25.5,0,6.8,12.1,SSW,28,13:39,23.3,58,5,SW,9,1011.3,23.2,59,7,SW,11,1009.7
,2020-11-9,13.1,18.6,2.0,7.4,2.6,WSW,46,18:10,18.1,88,7,WNW,17,1004.9,15.5,86,8,W,11,1004.5
,2020-11-10,10.6,19.0,19.0,2.8,7.3,SW,48,08:27,16.3,63,5,SW,13,1013.6,17.9,49,7,SW,19,1015.1
,2020-11-11,9.2,20.8,0,3.8,7.5,SW,31,13:53,15.8,54,7,E,7,1019.5,19.2,50,3,SSW,13,1017.6
,2020-11-12,8.0,22.7,0,5.4,11.1,SW,31,12:32,19.0,52,1,NNE,7,1017.0,21.7,46,5,NW,11,1014.3
,2020-11-13,16.3,22.9,8.8,6.0,1.3,WSW,28,14:26,17.6,90,7,NE,6,1010.5,21.0,66,7,W,11,1007.7
,2020-11-14,14.4,21.6,4.0,2.6,2.6,WSW,41,17:48,17.3,80,4,NW,13,1006.1,16.9,86,7,W,13,1006.0
,2020-11-15,12.6,22.1,13.6,3.2,10.6,W,43,01:54,19.0,50,6,WSW,17,1016.8,19.7,46,4,WSW,15,1018.4
,2020-11-16,10.7,24.3,0,4.8,11.1,E,31,10:15,19.8,51,6,ENE,11,1021.5,23.6,42,1,W,11,1017.8
,2020-11-17,11.7,23.5,0,6.2,5.8,S,28,12:38,20.8,58,7,NE,4,1015.6,20.9,56,7,SSW,11,1013.4
,2020-11-18,14.5,25.2,0,5.0,11.9,NW,28,12:56,23.3,62,7,WSW,9,1015.9,23.4,63,5,WSW,13,1014.9
,2020-11-19,14.3,25.7,0,5.6,11.9,SW,31,16:04,20.1,59,3,SSE,11,1017.5,22.0,54,6,SW,15,1014.7
,2020-11-20,14.4,26.3,0,7.0,9.9,SSW,35,18:40,23.0,50,1,S,7,1014.9,23.0,66,7,WSW,17,1014.1
,2020-11-21,14.1,25.2,0,7.8,10.8,SSW,35,15:54,20.1,57,5,S,9,1019.2,23.1,49,5,WSW,17,1017.5
,2020-11-22,14.9,28.2,0,8.2,13.2,SSW,39,15:59,21.4,50,0,E,13,1023.1,25.7,47,1,SSW,19,1019.2
,2020-11-23,14.6,35.1,0,9.4,13.2,SSW,35,15:32,26.8,33,0,ENE,11,1019.4,32.5,22,0,SSW,19,1013.8
,2020-11-24,16.8,33.7,0,10.6,13.1,S,50,13:42,30.2,25,0,NNE,7,1009.5,24.6,51,0,S,26,1008.8
,2020-11-25,15.5,28.9,0,11.4,11.8,SW,35,17:46,21.7,61,6,SSE,9,1013.8,28.1,44,1,SSE,15,1010.1
,2020-11-26,13.8,24.1,0,8.0,12.3,SW,41,16:22,23.1,60,1,NNW,9,1010.8,21.6,54,5,SW,20,1010.8
,2020-11-27,14.0,23.5,0,8.0,9.1,SSE,48,07:56,21.5,46,6,SSW,7,1016.0,22.1,50,3,WSW,19,1014.7
,2020-11-28,10.8,23.5,0,8.0,13.1,SW,39,16:01,18.6,46,1,SE,15,1019.6,21.3,44,1,SSW,20,1016.2
,2020-11-29,11.6,23.6,0,7.8,4.0,SSW,39,17:29,19.9,41,7,S,6,1011.5,19.5,59,7,S,15,1009.5
,2020-11-30,13.6,19.4,8.4,5.6,10.6,SW,57,07:59,14.8,74,4,SSW,19,1014.3,18.2,46,6,SW,22,1017.3
