"Daily Weather Observations for Perth, Western Australia for December 2020"
"Prepared at 13:03 UTC on Thursday 21 January 2021   IDCJDW6111.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,6.6,23.5,0.4,7.6,12.8,SW,39,16:20,17.4,39,3,ESE,11,1025.4,21.0,38,0,SSW,20,1020.6
,2020-12-2,9.8,,0,9.0,13.2,,,,21.0,42,0,E,9,1019.4,25.0,39,0,SSW,15,1016.3
,2020-12-3,12.1,28.8,,8.4,13.2,SSW,37,17:01,22.3,49,1,SSE,9,1014.9,25.9,46,1,SW,17,1011.3
,2020-12-4,15.4,23.9,0,8.4,12.1,SW,46,15:40,20.5,59,6,SW,15,1015.5,20.8,60,5,SW,22,1015.3
,2020-12-5,14.4,23.4,0,8.8,11.1,SW,41,18:07,18.1,49,5,SE,17,1021.4,21.4,47,0,SSW,22,1018.9
,2020-12-6,12.8,25.0,0,8.0,13.1,SW,39,14:46,19.6,50,0,SSE,11,1021.1,22.8,50,0,SSW,22,1018.2
,2020-12-7,15.4,33.1,0,10.4,13.3,E,43,15:16,22.3,46,0,ENE,15,1020.2,31.5,22,0,SE,11,1014.9
,2020-12-8,18.0,39.4,0,11.8,13.3,SW,39,16:13,29.5,24,0,NE,19,1011.6,36.5,19,1,SW,20,1006.0
,2020-12-9,17.9,33.1,0,14.2,13.0,SSE,46,18:51,26.0,43,1,SSW,11,1007.3,32.0,37,1,SSW,17,1003.7
,2020-12-10,21.1,36.3,0,10.0,6.5,NE,52,11:22,31.8,30,3,NNE,19,1006.6,34.7,22,7,NE,22,1006.2
,2020-12-11,23.1,33.1,0,11.6,13.2,NNE,30,01:38,28.2,49,1,ENE,11,1007.9,31.8,38,5,E,13,1004.7
,2020-12-12,19.4,32.7,0,9.2,12.8,SW,30,13:19,29.8,44,0,S,6,1002.9,30.1,45,1,WSW,13,1000.0
,2020-12-13,17.4,23.1,3.8,14.6,9.7,SSW,46,15:01,19.8,73,5,WSW,17,1004.7,21.5,52,7,SW,22,1006.9
,2020-12-14,13.4,23.5,0.2,6.2,13.1,SSW,43,15:52,19.8,43,1,SSE,11,1017.6,21.7,38,1,SW,24,1016.7
,2020-12-15,14.0,29.0,0,9.4,13.1,SSW,41,16:49,20.0,45,0,NE,15,1019.5,27.5,36,1,SSW,19,1015.1
,2020-12-16,15.2,29.3,0,10.0,13.1,SSW,46,18:02,21.8,45,1,SE,9,1014.7,26.6,45,1,SSW,19,1011.1
,2020-12-17,16.5,30.3,0,12.0,13.1,S,44,21:09,23.2,42,0,ESE,13,1015.1,28.5,37,3,SSW,19,1012.2
,2020-12-18,16.4,31.2,0,11.4,13.2,SW,41,15:38,23.4,45,0,E,11,1014.2,29.3,37,2,SSW,17,1010.8
,2020-12-19,18.5,34.3,0,13.0,13.2,SSW,43,16:19,27.0,31,0,NE,15,1011.1,30.1,37,1,SW,19,1008.8
,2020-12-20,18.0,31.1,0,12.6,13.2,SSW,41,15:42,23.9,44,0,SE,11,1013.9,28.4,35,0,SSW,20,1011.5
,2020-12-21,15.7,32.9,0,11.8,13.3,E,35,03:38,22.4,45,0,E,13,1016.1,32.1,19,0,SE,13,1012.1
,2020-12-22,16.5,36.1,0,12.0,13.3,E,33,03:06,25.4,39,0,E,9,1014.9,33.4,26,0,S,17,1011.2
,2020-12-23,19.2,40.2,0,14.0,13.2,N,35,09:59,29.2,27,0,NE,17,1012.9,39.8,9,1,S,13,1008.4
,2020-12-24,20.5,41.1,0,14.8,13.2,N,39,07:59,35.0,15,1,NNE,15,1010.1,37.3,12,1,WSW,15,1008.3
,2020-12-25,19.2,40.4,0,15.6,12.9,SSW,33,17:03,32.8,24,6,SSW,6,1009.3,38.4,16,7,SSW,17,1006.0
,2020-12-26,22.0,29.6,0,13.6,12.7,SW,43,14:16,24.0,52,5,S,15,1010.5,26.7,46,0,SW,24,1009.4
,2020-12-27,16.0,29.7,0,11.8,13.2,E,43,21:02,20.5,42,0,ENE,13,1018.7,28.1,21,0,ESE,24,1015.0
,2020-12-28,14.2,34.1,0,12.6,13.2,E,39,06:59,21.7,36,0,ENE,15,1015.7,32.1,17,5,E,11,1011.4
,2020-12-29,19.0,39.0,0,13.4,12.9,SE,33,17:01,29.3,20,1,ENE,15,1010.0,38.3,13,3,ESE,11,1005.7
,2020-12-30,24.1,33.6,0,13.8,13.1,ESE,30,01:59,31.2,24,1,NNW,11,1006.4,28.9,55,1,WSW,13,1005.1
,2020-12-31,21.5,30.8,0,12.0,10.7,WSW,28,15:25,25.4,65,5,NNE,9,1007.7,30.0,44,0,W,13,1006.5
