"Daily Weather Observations for Perth, Western Australia for January 2021"
"Prepared at 16:03 UTC on Tuesday 16 March 2021   IDCJDW6111.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,20.3,33.9,0,10.4,12.7,SSE,37,19:25,25.9,50,0,ESE,11,1011.6,32.4,36,2,SW,13,1009.4
,2021-01-2,19.4,32.9,0,13.4,12.5,E,46,01:37,24.6,47,1,E,19,1012.9,31.5,29,6,ESE,17,1011.0
,2021-01-3,17.7,32.3,0,14.6,11.8,E,43,01:40,22.0,44,6,E,20,1014.3,31.8,21,7,ESE,15,1010.9
,2021-01-4,16.7,32.5,0,12.2,13.1,E,46,00:40,23.2,44,0,E,15,1014.4,31.1,20,3,NE,17,1012.3
,2021-01-5,17.7,34.3,0,13.8,13.2,ESE,44,16:24,24.1,46,0,ESE,15,1019.5,33.2,16,0,E,19,1015.8
,2021-01-6,18.7,35.9,0,15.4,13.3,ENE,43,03:12,26.2,30,1,NE,22,1019.6,34.9,9,1,ENE,15,1014.1
,2021-01-7,20.1,38.5,0,13.8,12.2,NE,43,08:35,30.1,21,4,NE,19,1014.9,37.8,9,1,SE,9,1010.2
,2021-01-8,18.7,42.2,0,14.6,12.5,NE,35,07:29,33.0,16,1,NE,19,1012.9,40.9,9,1,SW,15,1009.4
,2021-01-9,23.7,35.9,0,14.8,10.5,SW,35,13:34,33.1,24,4,NE,4,1009.6,30.0,42,6,WSW,17,1010.2
,2021-01-10,21.4,27.0,0,11.2,10.5,SW,46,17:21,23.6,57,6,SSW,15,1014.9,25.6,54,1,SSW,20,1014.5
,2021-01-11,16.4,30.9,0,11.8,13.0,SSW,35,17:32,22.0,48,1,ESE,13,1018.7,28.0,40,1,SW,17,1013.7
,2021-01-12,17.6,29.4,0,10.6,12.4,S,46,15:43,24.0,38,7,SE,6,1012.1,27.9,40,1,SSW,24,1010.1
,2021-01-13,16.8,33.1,0,11.8,12.8,,,,22.4,48,0,ESE,11,1017.0,31.8,25,4,SE,13,1013.9
,2021-01-14,16.7,33.6,,11.0,12.8,SE,44,21:04,23.2,45,1,E,13,1017.8,32.4,24,6,ESE,15,1014.4
,2021-01-15,16.9,33.1,0,13.0,13.1,E,50,08:50,22.7,40,2,E,22,1017.7,32.1,17,1,ENE,17,1014.0
,2021-01-16,17.9,34.2,0,13.8,13.1,E,46,08:10,24.5,41,0,ENE,20,1017.2,33.2,24,0,E,17,1012.9
,2021-01-17,19.1,36.7,0,15.4,12.5,ESE,46,19:20,27.1,26,0,NE,22,1016.8,35.2,15,1,ESE,13,1013.2
,2021-01-18,22.4,34.5,0,16.0,4.0,NE,39,08:19,28.0,22,7,NE,20,1014.2,32.7,29,5,ENE,15,1011.4
,2021-01-19,22.6,36.6,0.2,9.2,10.6,NE,48,07:07,33.0,23,3,NNE,13,1010.3,30.3,35,5,WSW,13,1008.1
,2021-01-20,22.3,30.1,0,9.2,10.0,WSW,31,14:06,25.0,72,7,SW,9,1010.9,27.9,60,1,WSW,15,1009.3
,2021-01-21,22.7,34.8,0,9.2,12.9,SSW,37,17:13,28.2,46,0,S,9,1011.5,32.3,39,0,SW,17,1007.8
,2021-01-22,20.0,36.5,0,12.8,13.1,SW,35,16:10,26.7,47,0,E,11,1005.9,34.9,31,1,SW,11,1001.9
,2021-01-23,18.1,27.3,0,10.4,12.1,SW,37,10:34,26.6,58,0,SW,9,1002.0,25.4,57,1,SW,19,1003.0
,2021-01-24,15.9,27.1,0,9.8,11.5,SW,41,12:59,23.4,61,5,SW,6,1007.4,25.8,41,2,WSW,19,1006.5
,2021-01-25,18.3,27.4,0,8.0,11.7,SSW,33,16:50,22.6,47,4,S,9,1010.6,25.8,38,1,SW,17,1008.3
,2021-01-26,14.6,26.3,0,8.8,12.3,SW,43,16:10,23.4,52,0,WSW,4,1008.5,23.7,53,6,SW,20,1007.2
,2021-01-27,14.3,25.9,0,7.6,10.6,SSW,43,16:09,22.2,61,7,S,11,1010.3,24.7,45,2,SSW,22,1009.8
,2021-01-28,15.3,30.9,0,10.2,13.1,SSW,43,16:18,21.5,57,1,E,9,1015.4,28.7,45,1,SSW,19,1011.3
,2021-01-29,18.5,34.5,0,11.8,13.0,ESE,35,15:03,24.0,49,0,E,15,1015.3,33.6,14,0,E,15,1010.9
,2021-01-30,19.1,35.2,0,11.2,13.0,SE,37,13:05,24.7,45,0,ESE,13,1014.2,34.8,15,0,ESE,13,1009.1
,2021-01-31,20.1,37.3,0,9.8,13.0,ENE,52,07:48,28.0,34,0,E,11,1011.0,34.0,22,0,S,22,1008.5
