"Daily Weather Observations for Perth, Western Australia for February 2021"
"Prepared at 13:03 UTC on Sunday 21 March 2021   IDCJDW6111.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,19.9,36.9,0,16.0,12.0,E,43,07:33,26.1,42,0,E,17,1015.8,35.3,14,0,E,15,1011.9
,2021-02-2,21.5,35.0,0,,5.2,NE,30,16:55,28.7,33,3,E,9,1011.5,34.1,25,7,SSE,6,1008.4
,2021-02-3,19.5,31.6,0,6.2,12.5,SSW,48,13:56,26.2,64,1,ESE,7,1009.6,29.4,48,2,SSW,22,1006.2
,2021-02-4,14.9,28.3,0,11.8,12.8,ESE,52,16:40,19.4,42,0,ESE,17,1015.0,27.0,21,0,ESE,17,1010.2
,2021-02-5,14.7,26.9,0,12.0,10.3,ESE,43,13:30,19.7,43,4,E,17,1013.5,26.4,28,4,SE,20,1008.6
,2021-02-6,17.5,22.4,0,10.0,0.0,SE,44,23:45,18.2,60,8,ESE,13,1010.4,22.4,46,8,ESE,17,1005.2
,2021-02-7,15.9,21.8,19.6,3.0,0.0,SE,52,00:27,17.5,90,8,E,15,998.2,21.4,93,8,NNE,11,994.1
,2021-02-8,17.5,24.2,16.0,2.8,9.6,WSW,44,10:39,21.1,77,6,WSW,19,1003.9,21.7,77,6,SW,19,1006.1
,2021-02-9,16.6,25.9,0.8,5.0,11.4,SW,43,22:22,22.6,60,6,WSW,9,1010.2,24.7,41,2,SW,15,1008.9
,2021-02-10,16.1,23.3,0.6,7.4,11.1,SSW,41,16:49,19.1,61,3,ESE,19,1013.9,22.6,41,1,SSW,19,1013.3
,2021-02-11,14.4,25.0,0,8.8,12.5,SW,46,16:48,18.6,55,1,SSE,15,1016.8,23.4,45,0,SSW,20,1013.2
,2021-02-12,14.8,29.5,0,7.2,12.4,SSW,28,18:07,20.5,52,0,ESE,9,1016.1,28.2,44,0,SW,17,1012.1
,2021-02-13,15.6,35.9,0,9.0,11.8,SSW,30,15:43,25.7,41,1,ENE,13,1013.3,33.6,29,3,SSW,13,1010.2
,2021-02-14,21.9,35.3,0,11.2,2.7,S,48,20:08,28.0,37,7,ENE,7,1012.7,35.0,22,7,W,11,1010.0
,2021-02-15,21.6,37.7,0,6.6,12.2,SSW,33,16:25,30.4,33,1,E,6,1010.4,35.7,24,1,SW,15,1006.7
,2021-02-16,21.2,30.5,0,11.8,12.2,SW,28,14:41,25.8,72,1,SW,7,1008.6,26.9,57,3,SW,19,1007.2
,2021-02-17,20.2,26.4,0,5.4,5.4,SSW,30,13:35,22.3,78,8,W,7,1008.0,25.2,58,6,WSW,13,1006.2
,2021-02-18,18.1,23.0,1.6,7.6,10.5,SW,44,04:00,20.2,46,2,SW,19,1013.6,21.5,44,2,SSW,22,1014.5
,2021-02-19,12.7,25.1,0,9.4,12.2,SSW,35,15:59,18.3,48,0,E,11,1020.0,23.7,39,0,SW,17,1016.2
,2021-02-20,12.1,30.6,0,6.8,12.2,SSW,37,16:45,23.0,48,0,SSE,9,1016.4,29.1,33,0,SW,17,1013.3
,2021-02-21,16.7,35.1,0,8.4,12.2,SSW,31,16:11,24.0,46,0,E,15,1015.9,34.1,30,0,SW,13,1012.4
,2021-02-22,18.7,38.3,0,11.8,12.1,E,39,06:23,24.3,51,0,E,15,1015.0,37.9,18,0,SSW,9,1011.9
,2021-02-23,21.6,39.5,0,12.4,12.1,NNE,31,08:42,32.0,23,0,N,13,1014.5,34.7,17,0,WSW,17,1013.2
,2021-02-24,18.5,33.2,0,11.2,11.6,SSW,31,15:53,27.8,47,1,SSE,7,1015.4,30.1,40,1,WSW,15,1012.4
,2021-02-25,17.2,29.9,0,8.6,12.1,SSW,39,15:23,23.0,59,1,ENE,11,1013.7,27.8,46,0,SSW,19,1010.3
,2021-02-26,18.6,30.3,0,8.4,10.4,SSE,41,14:51,23.2,58,7,SE,15,1010.9,29.7,32,1,SE,20,1007.5
,2021-02-27,17.3,31.0,0,9.4,10.3,ESE,35,23:41,22.2,53,1,ESE,13,1011.7,30.2,35,2,S,11,1007.7
,2021-02-28,19.0,31.4,0,9.4,9.3,SE,33,17:47,22.6,54,6,E,13,1011.5,30.8,31,6,SE,11,1008.2
