"Daily Weather Observations for Perth, Western Australia for April 2021"
"Prepared at 13:03 UTC on Wednesday 18 August 2021   IDCJDW6111.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,20.4,32.9,1.0,4.2,9.3,ESE,46,06:36,22.6,63,7,E,9,1012.3,32.2,31,5,SSE,15,1007.6
,2021-04-2,16.9,30.8,0,6.0,10.8,SSW,28,21:05,24.3,57,1,SE,6,1010.5,29.3,49,7,SE,7,1010.3
,2021-04-3,17.9,31.0,0,5.8,6.2,SSE,35,22:06,23.3,65,3,ESE,9,1016.5,28.0,49,7,NNE,9,1013.4
,2021-04-4,18.4,31.4,1.4,4.4,6.2,ESE,31,12:22,22.1,68,6,SE,7,1017.2,30.5,35,3,ESE,9,1011.7
,2021-04-5,17.0,27.0,0,6.4,8.3,WSW,24,15:10,21.7,76,7,S,2,1014.3,25.8,61,1,WSW,11,1012.4
,2021-04-6,14.3,26.7,0,3.4,8.1,WSW,24,16:22,20.5,76,2,NNE,9,1014.8,25.0,53,6,WSW,13,1013.2
,2021-04-7,19.0,26.6,0.2,5.2,1.5,S,26,21:47,21.8,74,7,SW,6,1014.6,23.2,66,8,WSW,11,1013.2
,2021-04-8,17.3,25.7,0,3.0,8.5,SE,39,21:09,19.9,62,2,SE,9,1014.4,24.7,45,3,SE,11,1013.1
,2021-04-9,17.2,27.0,0,6.6,9.1,ESE,46,22:24,19.1,67,6,ESE,9,1019.7,26.0,42,2,ESE,19,1016.5
,2021-04-10,16.8,28.5,0,7.2,8.1,ESE,48,02:49,20.7,54,0,ENE,17,1020.1,28.2,31,7,ENE,17,1015.9
,2021-04-11,16.3,22.7,4.4,7.6,0.7,NNE,33,19:16,16.4,90,8,NNE,11,1011.8,21.7,67,7,NNE,15,1004.9
,2021-04-12,16.4,23.2,14.8,2.0,3.1,SW,50,14:01,19.7,88,7,S,13,1003.5,21.0,66,7,SSW,20,1008.8
,2021-04-13,11.8,21.8,1.4,0.7,9.1,SSW,35,14:06,16.3,66,2,SSE,7,1021.6,20.9,44,4,SSW,19,1021.0
,2021-04-14,8.9,23.2,0,3.2,10.7,S,33,18:04,16.6,62,1,NE,7,1027.0,21.9,44,1,SW,13,1023.9
,2021-04-15,9.9,25.1,0,4.0,10.5,SW,22,17:20,18.0,64,0,NNE,9,1027.4,24.7,34,0,S,9,1023.9
,2021-04-16,10.6,26.0,0,5.8,6.2,E,22,11:23,18.3,62,7,ESE,7,1027.1,25.4,32,7,ESE,6,1023.9
,2021-04-17,14.0,27.8,0,5.4,10.2,NE,22,12:12,20.3,51,1,ENE,9,1026.7,26.9,22,6,ESE,9,1023.3
,2021-04-18,11.5,28.7,0,4.8,10.4,SW,31,16:15,20.4,46,1,E,7,1024.9,27.8,26,1,SE,6,1020.0
,2021-04-19,11.8,23.3,0,5.2,6.5,SW,33,13:54,16.9,71,7,SSE,2,1020.4,22.3,46,1,SW,15,1018.0
,2021-04-20,11.3,25.7,0,2.8,10.2,SSW,28,15:48,19.3,68,1,ENE,13,1021.6,24.8,49,2,SSW,11,1019.4
,2021-04-21,11.5,26.5,0,5.0,10.3,S,22,14:05,19.0,64,0,E,9,1024.0,26.1,36,1,E,7,1021.9
,2021-04-22,13.2,25.4,0,4.4,5.9,NE,30,12:48,18.3,64,7,ENE,11,1024.9,24.3,35,7,E,7,1020.4
,2021-04-23,16.0,28.9,0,5.0,7.0,NE,20,01:05,18.0,58,7,E,7,1020.5,28.3,28,5,NE,7,1016.9
,2021-04-24,12.8,31.2,0,5.6,9.4,WSW,22,14:21,20.4,50,6,NE,7,1019.6,27.8,37,1,WSW,11,1017.3
,2021-04-25,11.6,27.9,0,4.2,10.0,SW,20,14:55,19.1,74,1, ,Calm,1021.4,26.7,47,4,SW,13,1019.3
,2021-04-26,10.9,31.5,0,3.4,6.9,S,15,15:11,20.0,62,1,S,6,1020.7,29.1,28,7,SSW,7,1017.2
,2021-04-27,14.1,29.8,0,4.6,7.2,SW,20,13:46,19.7,59,6,SSE,7,1021.0,26.8,33,7,SW,11,1020.0
,2021-04-28,12.0,29.7,0,4.0,9.2,S,19,14:41,18.7,76,, ,Calm,1022.2,28.6,36,1,SSW,9,1018.2
,2021-04-29,15.4,25.7,0,3.6,3.3,SW,57,15:35,19.2,79,,N,9,1015.0,23.8,72,7,NW,15,1012.1
,2021-04-30,13.2,20.6,17.4,3.4,10.0,SSW,33,01:16,15.8,59,1,SSE,13,1022.1,19.9,42,2,S,13,1021.1
