"Daily Weather Observations for Perth, Western Australia for May 2021"
"Prepared at 13:04 UTC on Tuesday 17 August 2021   IDCJDW6111.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,8.2,22.5,0,4.8,10.0,SSW,24,16:28,15.3,57,1,SSW,7,1025.3,22.1,36,5,SSE,7,1021.7
,2021-05-2,7.2,23.4,0,2.8,9.9,S,28,16:33,16.1,65,1,SSW,4,1021.3,22.1,38,1,S,15,1018.2
,2021-05-3,11.4,26.0,0,5.0,8.8,E,35,11:22,17.7,51,1,NNE,11,1021.0,25.0,30,3,ESE,15,1017.2
,2021-05-4,17.5,21.3,0,7.0,0.0,N,35,23:57,19.5,60,7,NNE,9,1015.2,18.8,96,8,N,6,1011.7
,2021-05-5,14.8,24.0,46.2,4.4,6.3,NNE,33,00:04,16.2,98,7, ,Calm,1007.0,22.0,67,6,NW,11,1006.3
,2021-05-6,13.8,23.7,4.2,1.6,6.1,WNW,28,13:36,18.5,86,3,N,9,1012.2,21.4,67,6,WSW,7,1011.4
,2021-05-7,11.6,22.4,1.2,2.0,9.8,SW,30,15:50,16.6,86,1,S,9,1019.6,21.6,49,2,SSW,15,1019.1
,2021-05-8,9.1,22.9,0,3.8,9.6,S,20,15:03,16.5,70,1,NE,9,1024.0,21.8,47,2,NE,9,1021.8
,2021-05-9,8.8,22.3,0,3.0,5.3,SW,26,15:53,14.4,81,7,S,6,1025.4,21.3,48,5,SW,9,1022.9
,2021-05-10,7.9,24.0,0,2.4,9.8,NE,26,12:24,16.0,78,1,SSW,4,1026.4,23.7,43,0,NE,11,1021.6
,2021-05-11,9.6,,0,2.4,9.2,,,,19.5,52,5,NNE,13,1019.3,28.0,27,2,NW,11,1015.3
,2021-05-12,14.0,24.5,0.2,4.0,3.8,SSE,33,13:34,17.2,88,7, ,Calm,1019.0,22.1,56,5,ESE,13,1019.8
,2021-05-13,12.9,21.5,0,3.6,9.1,E,41,09:48,15.5,52,6,E,15,1026.3,20.3,45,1,E,15,1022.7
,2021-05-14,14.5,19.9,0,6.8,0.2,NE,31,17:18,16.2,57,8,ENE,13,1024.0,19.3,52,8,ENE,13,1021.8
,2021-05-15,16.2,20.2,0,4.2,0.0,ENE,28,00:06,17.5,52,7,NE,11,1023.7,19.7,50,7,ENE,9,1021.7
,2021-05-16,14.9,24.2,0,2.6,4.7,NE,28,10:50,19.5,48,2,NE,7,1020.5,23.3,37,5,NNE,9,1017.5
