"Daily Weather Observations for Perth, Western Australia for June 2021"
"Prepared at 16:03 UTC on Monday 16 August 2021   IDCJDW6111.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,7.3,19.2,0,2.0,8.4,SSW,22,14:43,11.8,92,7,S,2,1022.8,18.9,55,2,S,11,1021.3
,2021-06-2,5.6,20.3,0,2.0,6.6,NE,20,11:13,10.4,96,7,SW,4,1026.9,19.7,50,5,ESE,7,1024.8
,2021-06-3,6.0,21.4,0,1.0,8.3,NNE,19,10:59,12.0,80,1,N,6,1028.8,20.3,47,5,NNE,6,1025.9
,2021-06-4,5.5,21.3,0,1.8,9.2,N,20,10:47,12.3,79,0,NE,9,1026.6,20.1,50,1,SW,7,1023.3
,2021-06-5,5.7,21.8,0,2.6,9.3,NNE,22,11:38,12.3,79,1,SW,7,1023.3,20.8,43,0,WSW,9,1019.1
,2021-06-6,7.4,20.6,0,1.8,4.6,SSW,31,15:11,12.7,71,2,WSW,9,1019.3,17.6,88,7,SW,11,1018.5
,2021-06-7,5.9,18.4,0.6,1.0,8.4,SE,28,12:55,10.3,95,5, ,Calm,1027.8,17.7,46,6,SE,9,1025.4
,2021-06-8,8.0,16.6,0,2.0,4.8,ENE,44,20:04,12.5,62,8,E,15,1026.9,16.2,53,8,E,17,1021.6
,2021-06-9,12.5,18.5,0,5.2,0.3,N,57,23:16,15.0,45,7,NNE,20,1013.1,15.1,67,7,N,22,1008.4
,2021-06-10,11.7,20.3,13.6,1.8,0.8,N,44,00:27,17.5,99,8,N,7,1007.6,18.8,81,7,SW,11,1007.6
,2021-06-11,13.2,19.8,5.8,0.8,3.1,SW,13,12:11,14.3,99,7,SW,2,1013.8,19.3,64,7, ,Calm,1011.8
,2021-06-12,10.5,21.0,0.2,0.2,8.7,SW,20,16:15,14.2,97,1, ,Calm,1015.0,20.2,59,2,SW,9,1014.4
,2021-06-13,8.4,20.1,0,2.8,8.4,SW,20,16:33,12.6,97,4,SW,2,1018.9,18.7,67,4,SW,7,1017.4
,2021-06-14,11.2,18.3,5.6,2.0,7.0,SW,50,13:10,17.2,58,5,SW,20,1017.9,16.2,59,5,SW,26,1017.5
,2021-06-15,7.1,16.6,5.2,2.8,3.6,WSW,22,16:36,10.3,99,7,SSW,7,1021.4,16.4,70,6,SW,7,1020.3
,2021-06-16,7.5,18.9,1.2,1.0,5.0,,,,11.3,99,7,WSW,2,1026.9,18.3,53,1,WSW,7,1025.5
,2021-06-17,6.4,18.3,,1.0,8.5,E,20,09:37,12.7,92,1,WSW,6,1032.0,17.2,60,1,NNE,11,1029.5
,2021-06-18,3.8,19.0,0,1.8,9.1,NNE,26,11:47,10.3,81,0,ESE,6,1030.4,18.2,45,0,N,7,1025.7
,2021-06-19,4.3,20.0,0,2.2,5.4,NNE,22,13:18,9.9,70,7,NNE,11,1024.1,18.2,51,7,NNW,7,1019.9
,2021-06-20,9.4,15.7,24.8,1.6,0.1,SSW,35,16:28,10.2,99,8,NNE,9,1015.0,14.9,91,5,NW,6,1009.6
,2021-06-21,8.3,14.4,13.0,1.4,5.8,SSW,54,09:06,10.8,74,7,S,22,1014.6,14.3,55,2,S,20,1016.0
,2021-06-22,1.9,15.8,0,2.0,8.1,SW,35,14:23,6.3,99,0, ,Calm,1023.5,15.5,55,6,SW,15,1021.6
,2021-06-23,2.8,17.2,0,1.0,7.7,SSE,26,13:25,8.1,99,8, ,Calm,1027.6,17.0,56,3,SSW,9,1025.9
,2021-06-24,3.4,17.5,0,1.2,8.9,SE,17,10:51,10.1,99,1,SSE,4,1030.0,16.7,50,1,SE,6,1026.8
,2021-06-25,2.7,18.1,0,1.8,9.1,NE,20,13:26,9.0,84,1,SE,6,1028.3,17.9,48,0,NE,7,1024.7
,2021-06-26,1.1,20.2,0,1.6,9.1,NE,28,11:41,8.4,99,1,NE,4,1024.0,20.0,32,0,NNE,13,1019.5
,2021-06-27,8.4,16.0,0,2.6,1.8,NNW,48,11:19,13.9,45,7,NNE,20,1010.4,15.4,73,2,N,20,1007.0
,2021-06-28,9.3,20.2,7.0,0.6,6.1,W,35,16:50,12.6,99,4, ,Calm,1012.3,18.9,61,5,W,13,1011.8
,2021-06-29,12.6,17.7,16.2,3.2,5.8,NNW,39,04:48,13.1,94,3,SW,2,1016.1,17.0,47,2,WSW,19,1018.2
,2021-06-30,9.0,16.8,0.4,2.4,0.8,NNW,20,14:16,11.4,82,7,NE,6,1026.0,16.4,55,8,SW,7,1024.4
