"Daily Weather Observations for Perth, Western Australia for August 2021"
"Prepared at 03:35 UTC on Wednesday  1 September 2021   IDCJDW6111.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"A combination of observations from Mount Lawley and Perth Airport."
"Significant variations can be experienced across the Perth metropolitan area on individual days. On average the inner city area is warmer overnight than the current observation sites. The current official Perth observation site is Perth Metro, however in the past Perth Regional Office and Perth Gardens have been official Perth observation sites.Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Temperature, humidity, wind, pressure and rainfall observations are from Perth Metro {station 009225}"
"Cloud, evaporation and sunshine observations are from Perth Airport {station 009021}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,9.7,15.1,8.8,3.8,5.9,SW,78,12:48,12.4,67,7,SW,30,1011.5,14.0,53,3,SSW,30,1014.9
,2021-08-2,3.7,15.4,2.6,1.2,3.9,NNW,17,12:33,8.8,79,7,SSW,6,1026.4,14.5,69,7,N,7,1025.7
,2021-08-3,8.8,17.6,0,1.0,2.9,S,19,20:35,11.5,87,6, ,Calm,1030.9,16.8,55,7,ENE,6,1028.9
,2021-08-4,6.3,19.3,0,1.2,9.6,SSE,20,12:33,12.5,77,1,S,4,1034.0,18.5,38,2,E,7,1031.5
,2021-08-5,3.8,19.6,0,1.4,9.9,NE,28,13:02,12.0,67,0,SSW,9,1032.7,19.0,39,0,ENE,9,1028.8
,2021-08-6,3.6,22.4,0,2.0,9.8,NNE,24,10:52,12.6,60,0,ENE,9,1027.1,22.1,27,0,NNE,9,1021.4
,2021-08-7,6.5,18.5,0,5.2,1.8,NE,37,21:36,16.3,38,7,NNE,15,1016.9,15.6,70,8,N,11,1015.9
,2021-08-8,11.8,19.5,3.8,0.6,1.8,WNW,43,23:11,15.4,99,7,N,13,1012.8,18.8,69,7,WNW,11,1011.1
,2021-08-9,13.8,19.4,5.2,1.0,5.8,WNW,52,14:33,17.0,60,6,W,13,1010.0,17.7,60,6,WNW,20,1007.7
,2021-08-10,9.7,14.4,6.4,4.2,6.2,SW,59,12:06,12.5,62,5,WSW,22,1010.8,13.9,51,4,SW,26,1015.3
,2021-08-11,6.8,17.5,4.2,2.0,2.5,SSW,26,00:26,11.0,81,3,NNE,11,1029.3,16.9,54,7,WSW,9,1029.8
,2021-08-12,9.0,18.0,1.2,1.2,5.9,SSW,24,15:12,13.2,84,1,S,9,1032.5,16.3,67,7,SW,13,1029.7
,2021-08-13,5.1,20.9,0,2.0,10.0,NNE,30,12:58,12.8,79,1,SSE,6,1025.6,20.2,24,1,NW,9,1020.2
,2021-08-14,4.1,20.8,0,2.8,10.0,S,26,15:27,12.5,66,1, ,Calm,1023.7,19.5,52,3,SW,11,1022.4
,2021-08-15,7.1,22.6,0,3.4,10.2,E,26,06:49,13.8,69,0,ESE,7,1028.9,22.3,36,0,NNE,11,1026.1
,2021-08-16,11.1,24.9,0,3.8,10.2,NE,37,05:32,17.3,36,0,ENE,13,1027.8,24.7,31,0,ENE,13,1023.1
,2021-08-17,13.3,25.1,0.2,5.0,9.5,N,31,03:27,19.8,52,1,NE,7,1020.8,22.2,67,1,WNW,13,1018.0
,2021-08-18,11.3,20.7,1.2,3.2,8.8,SSW,24,11:27,16.0,97,6,SSE,9,1017.0,19.6,59,1,WSW,11,1014.7
,2021-08-19,9.8,18.7,1.0,4.6,3.5,NNW,28,16:28,12.6,97,8,WSW,6,1014.3,17.0,89,7,NW,6,1013.0
,2021-08-20,11.4,,11.8,0.0,7.4,,,,14.9,94,2,WSW,7,1019.4,17.1,72,7,SW,13,1019.3
,2021-08-21,9.7,19.0,,2.6,2.4,SW,33,17:50,13.3,93,7,WNW,6,1020.6,16.0,81,3,SW,17,1018.9
,2021-08-22,12.1,18.4,0.8,2.0,5.2,SSW,39,03:06,14.0,68,7,SSE,4,1024.1,17.5,47,6,SSE,7,1023.7
,2021-08-23,5.3,18.5,0,1.8,10.4,ESE,30,11:05,12.0,65,6,E,11,1028.8,17.9,43,1,ESE,11,1025.8
,2021-08-24,7.8,21.1,0,3.2,10.5,E,35,12:51,13.7,49,0,ENE,11,1025.4,20.7,30,0,ESE,15,1021.2
,2021-08-25,12.6,24.7,0,8.8,9.4,NNE,31,04:23,16.0,38,0,NE,17,1017.3,21.5,40,0,WNW,15,1013.1
,2021-08-26,12.5,19.5,0.6,3.4,4.4,WSW,46,12:52,16.8,80,6,WSW,9,1015.7,14.7,86,8,WSW,17,1015.3
,2021-08-27,12.6,17.8,2.4,3.2,5.7,WSW,35,05:20,13.8,72,7,SSE,11,1021.7,15.8,57,7,SSW,13,1020.8
,2021-08-28,9.4,18.7,0,2.6,2.8,SW,19,12:42,14.2,75,7,NNE,7,1022.7,18.3,48,7,S,7,1019.5
,2021-08-29,12.1,19.4,2.4,1.4,6.2,W,35,11:39,13.7,94,7,NNE,7,1017.4,18.3,64,4,W,15,1015.3
,2021-08-30,13.7,19.9,2.8,3.0,4.4,WNW,41,13:09,16.9,74,7,W,11,1015.7,18.8,65,7,W,15,1014.2
,2021-08-31,12.9,20.5,1.2,2.4,7.0,WSW,31,01:22,16.8,82,6,WSW,9,1017.6,19.5,61,4,WNW,13,1014.2
