time,windspeed,winddir,swellheight,swellPeriod,swellDirection,airTemperature
2020-02-01T00:00:00Z,5.97,130.2,1.55,8.37,228.33,16.72
2020-02-01T01:00:00Z,5.96,143.46,1.58,8.24,226.42,17.1
2020-02-01T02:00:00Z,5.95,156.71,1.6,8.11,224.51,17.48
2020-02-01T03:00:00Z,5.94,169.97,1.63,7.98,222.6,17.86
2020-02-01T04:00:00Z,7.32,178.8,1.57,8.1,223.53,18.27
2020-02-01T05:00:00Z,8.71,187.63,1.52,8.23,224.45,18.67
2020-02-01T06:00:00Z,10.09,196.46,1.46,8.35,225.38,19.08
2020-02-01T07:00:00Z,10.41,195.25,1.36,8.54,227.63,19.47
2020-02-01T08:00:00Z,10.73,194.04,1.25,8.73,229.87,19.87
2020-02-01T09:00:00Z,11.05,192.83,1.15,8.92,232.12,20.27
2020-02-01T10:00:00Z,11.01,187.84,1.14,8.92,230.71,20.49
2020-02-01T11:00:00Z,10.96,182.86,1.13,8.91,229.3,20.72
2020-02-01T12:00:00Z,10.92,177.87,1.12,8.91,227.89,20.95
2020-02-01T13:00:00Z,9.75,169.53,1.29,8.38,226.13,21.13
2020-02-01T14:00:00Z,8.57,161.2,1.47,7.84,224.38,21.31
2020-02-01T15:00:00Z,7.4,152.86,1.64,7.31,222.62,21.49
2020-02-01T16:00:00Z,7.79,148.33,1.72,7.16,219.29,21.3
2020-02-01T17:00:00Z,8.19,143.79,1.79,7.01,215.96,21.11
2020-02-01T18:00:00Z,8.58,139.26,1.87,6.86,212.63,20.92
2020-02-01T19:00:00Z,8.93,128.99,1.75,6.49,207.49,20.39
2020-02-01T20:00:00Z,9.28,118.73,1.62,6.13,202.36,19.86
2020-02-01T21:00:00Z,9.62,108.46,1.5,5.76,197.22,19.33
2020-02-01T22:00:00Z,9.21,105.27,1.38,5.65,195.7,19.24
2020-02-01T23:00:00Z,8.79,102.07,1.25,5.53,194.17,19.16
2020-02-02T00:00:00Z,8.38,98.88,1.13,5.42,192.65,19.07
2020-02-02T01:00:00Z,7.17,111.37,1.23,6.09,198.53,20.03
2020-02-02T02:00:00Z,5.97,123.87,1.34,6.77,204.4,20.99
2020-02-02T03:00:00Z,4.76,136.36,1.44,7.44,210.28,21.95
2020-02-02T04:00:00Z,6.28,154.4,1.39,7.64,211.05,22.16
2020-02-02T05:00:00Z,7.79,172.43,1.35,7.83,211.83,22.36
2020-02-02T06:00:00Z,9.31,190.47,1.3,8.03,212.6,22.57
2020-02-02T07:00:00Z,9.98,189.79,1.28,8.17,212.46,22.6
2020-02-02T08:00:00Z,10.64,189.11,1.27,8.31,212.33,22.63
2020-02-02T09:00:00Z,11.31,188.43,1.25,8.45,212.19,22.67
2020-02-02T10:00:00Z,9.6,178.47,1.2,8.63,209.41,22.74
2020-02-02T11:00:00Z,7.89,168.5,1.16,8.8,206.63,22.82
2020-02-02T12:00:00Z,6.17,158.54,1.11,8.98,203.85,22.9
2020-02-02T13:00:00Z,6.21,150.55,1.24,7.79,203.9,23.31
2020-02-02T14:00:00Z,6.25,142.56,1.38,6.61,203.96,23.72
2020-02-02T15:00:00Z,6.29,134.57,1.51,5.42,204.01,24.13
2020-02-02T16:00:00Z,7.23,126.16,1.62,5.93,204.26,23.56
2020-02-02T17:00:00Z,8.16,117.75,1.74,6.43,204.52,23
2020-02-02T18:00:00Z,9.1,109.34,1.85,6.94,204.77,22.43
2020-02-02T19:00:00Z,9,105.46,1.82,7.03,204.2,22.09
2020-02-02T20:00:00Z,8.91,101.58,1.8,7.13,203.62,21.75
2020-02-02T21:00:00Z,8.81,97.7,1.77,7.22,203.05,21.41
2020-02-02T22:00:00Z,9.26,94.91,1.78,7.46,202.87,21.16
2020-02-02T23:00:00Z,9.72,92.12,1.78,7.71,202.69,20.91
2020-02-03T00:00:00Z,10.17,89.33,1.79,7.95,202.51,20.66
2020-02-03T01:00:00Z,8.42,93.57,1.74,8.1,202.96,21.78
2020-02-03T02:00:00Z,6.67,97.8,1.68,8.25,203.4,22.89
2020-02-03T03:00:00Z,4.92,102.04,1.63,8.4,203.85,24.01
2020-02-03T04:00:00Z,4.66,122.54,1.58,8.55,204.75,24.98
2020-02-03T05:00:00Z,4.39,143.03,1.53,8.71,205.64,25.95
2020-02-03T06:00:00Z,4.12,163.53,1.48,8.86,206.54,26.92
2020-02-03T07:00:00Z,4.3,165.47,1.43,8.89,206.65,26.74
2020-02-03T08:00:00Z,4.48,167.41,1.39,8.93,206.77,26.56
2020-02-03T09:00:00Z,4.66,169.35,1.34,8.96,206.88,26.39
2020-02-03T10:00:00Z,4.86,151.9,1.31,8.96,206.65,26.15
2020-02-03T11:00:00Z,5.07,134.44,1.29,8.96,206.43,25.9
2020-02-03T12:00:00Z,5.27,116.99,1.26,8.96,206.2,25.66
2020-02-03T13:00:00Z,6.06,116.82,1.24,8.93,206.2,26.43
2020-02-03T14:00:00Z,6.84,116.65,1.23,8.89,206.19,27.2
2020-02-03T15:00:00Z,7.63,116.48,1.21,8.86,206.19,27.97
2020-02-03T16:00:00Z,7.88,110.34,1.34,8.26,204.59,27.22
2020-02-03T17:00:00Z,8.13,104.2,1.46,7.65,202.99,26.47
2020-02-03T18:00:00Z,8.38,98.06,1.59,7.05,201.39,25.71
2020-02-03T19:00:00Z,8.21,95.24,1.56,7.11,201.05,25.42
2020-02-03T20:00:00Z,8.04,92.43,1.54,7.16,200.72,25.13
2020-02-03T21:00:00Z,7.87,89.61,1.51,7.22,200.38,24.83
2020-02-03T22:00:00Z,7.42,88.1,1.4,7.46,201.53,24.56
2020-02-03T23:00:00Z,6.96,86.59,1.3,7.71,202.69,24.28
2020-02-04T00:00:00Z,6.51,85.08,1.19,7.95,203.84,24
2020-02-04T01:00:00Z,6.42,95.72,1.17,7.84,203.02,24.88
2020-02-04T02:00:00Z,6.32,106.36,1.15,7.74,202.2,25.76
2020-02-04T03:00:00Z,6.23,117,1.13,7.63,201.38,26.63
2020-02-04T04:00:00Z,6.59,119.69,1.09,7.69,201.86,27.34
2020-02-04T05:00:00Z,6.94,122.37,1.04,7.76,202.35,28.05
2020-02-04T06:00:00Z,7.3,125.06,1,7.82,202.83,28.76
2020-02-04T07:00:00Z,6.24,129.64,0.97,7.84,203.13,28.69
2020-02-04T08:00:00Z,5.17,134.22,0.94,7.85,203.43,28.61
2020-02-04T09:00:00Z,4.11,138.8,0.91,7.87,203.73,28.54
2020-02-04T10:00:00Z,4.06,132.94,0.89,7.81,203.85,27.88
2020-02-04T11:00:00Z,4.01,127.09,0.88,7.74,203.98,27.23
2020-02-04T12:00:00Z,3.96,121.23,0.86,7.68,204.1,26.57
2020-02-04T13:00:00Z,3.37,131.34,0.82,7.59,203.31,26.68
2020-02-04T14:00:00Z,2.77,141.44,0.79,7.49,202.52,26.78
2020-02-04T15:00:00Z,2.18,151.55,0.75,7.4,201.73,26.89
2020-02-04T16:00:00Z,2.8,110.03,0.73,8.81,208.97,26.25
2020-02-04T17:00:00Z,3.42,68.52,0.71,10.23,216.22,25.62
2020-02-04T18:00:00Z,4.04,27,0.69,11.64,223.46,24.98
2020-02-04T19:00:00Z,4.81,18.68,0.77,9.96,215.02,24.85
2020-02-04T20:00:00Z,5.58,10.36,0.85,8.29,206.59,24.72
2020-02-04T21:00:00Z,6.35,2.04,0.93,6.61,198.15,24.59
2020-02-04T22:00:00Z,5.35,3.45,0.86,7.65,201.19,24.39
2020-02-04T23:00:00Z,4.35,4.87,0.8,8.7,204.22,24.2
2020-02-05T00:00:00Z,3.35,6.28,0.73,9.74,207.26,24.01
2020-02-05T01:00:00Z,3.15,351.4,0.8,10.8,212.33,24.09
2020-02-05T02:00:00Z,2.94,336.51,0.86,11.85,217.41,24.17
2020-02-05T03:00:00Z,2.74,321.63,0.93,12.91,222.48,24.25
2020-02-05T04:00:00Z,2.56,309.1,0.92,12.72,221.57,24.32
2020-02-05T05:00:00Z,2.38,296.57,0.91,12.53,220.65,24.38
2020-02-05T06:00:00Z,2.2,284.04,0.9,12.34,219.74,24.45
2020-02-05T07:00:00Z,1.7,299.53,0.88,12.03,218.08,24.32
2020-02-05T08:00:00Z,1.2,315.01,0.87,11.73,216.41,24.18
2020-02-05T09:00:00Z,0.7,330.5,0.85,11.42,214.75,24.05
2020-02-05T10:00:00Z,1.06,327.63,0.85,11.37,214,23.82
2020-02-05T11:00:00Z,1.41,324.75,0.86,11.31,213.24,23.59
2020-02-05T12:00:00Z,1.77,321.88,0.86,11.26,212.49,23.35
2020-02-05T13:00:00Z,2.13,312.24,0.9,10.62,210.86,23.26
2020-02-05T14:00:00Z,2.49,302.61,0.94,9.99,209.22,23.16
2020-02-05T15:00:00Z,2.85,292.97,0.98,9.35,207.59,23.06
2020-02-05T16:00:00Z,2.73,294.1,0.99,9.34,207.8,23.06
2020-02-05T17:00:00Z,2.61,295.23,0.99,9.32,208.02,23.06
2020-02-05T18:00:00Z,2.49,296.36,1,9.31,208.23,23.06
2020-02-05T19:00:00Z,2.39,302.03,1,9.25,208.47,22.89
2020-02-05T20:00:00Z,2.28,307.7,1,9.2,208.71,22.73
2020-02-05T21:00:00Z,2.18,313.37,1,9.14,208.95,22.57
2020-02-05T22:00:00Z,2.55,320.35,0.98,9.92,214.2,22.11
2020-02-05T23:00:00Z,2.93,327.33,0.97,10.7,219.45,21.64
2020-02-06T00:00:00Z,3.31,334.31,0.95,11.48,224.7,21.18
2020-02-06T01:00:00Z,3.34,330.02,0.96,12.07,228.56,21.3
2020-02-06T02:00:00Z,3.37,325.73,0.96,12.65,232.43,21.42
2020-02-06T03:00:00Z,3.4,321.44,0.97,13.24,236.29,21.54
2020-02-06T04:00:00Z,3.35,308.36,0.96,12.5,232.65,21.56
2020-02-06T05:00:00Z,3.3,295.29,0.96,11.75,229.02,21.58
2020-02-06T06:00:00Z,3.25,282.21,0.95,11.01,225.38,21.6
2020-02-06T07:00:00Z,3.22,275.11,1.07,10.75,225.1,21.74
2020-02-06T08:00:00Z,3.19,268,1.18,10.48,224.81,21.87
2020-02-06T09:00:00Z,3.16,260.9,1.3,10.22,224.53,22.01
2020-02-06T10:00:00Z,3.06,254.38,1.31,10.02,224.92,21.94
2020-02-06T11:00:00Z,2.96,247.87,1.31,9.83,225.3,21.87
2020-02-06T12:00:00Z,2.86,241.35,1.32,9.63,225.69,21.8
2020-02-06T13:00:00Z,2.51,237.1,1.22,8.5,225.16,21.64
2020-02-06T14:00:00Z,2.15,232.85,1.11,7.37,224.62,21.49
2020-02-06T15:00:00Z,1.8,228.6,1.01,6.24,224.09,21.33
2020-02-06T16:00:00Z,1.96,248.56,1.01,6.19,223.92,21.17
2020-02-06T17:00:00Z,2.11,268.53,1.02,6.13,223.76,21.01
2020-02-06T18:00:00Z,2.27,288.49,1.02,6.08,223.59,20.86
2020-02-06T19:00:00Z,2.33,274.33,1,8.01,225.52,20.75
2020-02-06T20:00:00Z,2.4,260.17,0.99,9.93,227.45,20.64
2020-02-06T21:00:00Z,2.46,246.01,0.97,11.86,229.38,20.54
2020-02-06T22:00:00Z,2.45,248.41,1.1,10.83,229.03,20.51
2020-02-06T23:00:00Z,2.43,250.81,1.23,9.8,228.68,20.49
2020-02-07T00:00:00Z,2.42,253.21,1.36,8.77,228.33,20.46
2020-02-07T01:00:00Z,2.48,241.84,1.37,8.93,228.29,20.53
2020-02-07T02:00:00Z,2.55,230.47,1.38,9.09,228.26,20.6
2020-02-07T03:00:00Z,2.61,219.1,1.39,9.25,228.22,20.66
2020-02-07T04:00:00Z,2.99,216.82,1.34,9.38,226.19,20.87
2020-02-07T05:00:00Z,3.38,214.53,1.29,9.51,224.16,21.08
2020-02-07T06:00:00Z,3.76,212.25,1.24,9.64,222.13,21.29
2020-02-07T07:00:00Z,4.4,207.46,1.26,9.84,223.32,21.33
2020-02-07T08:00:00Z,5.03,202.67,1.28,10.04,224.5,21.37
2020-02-07T09:00:00Z,5.67,197.88,1.3,10.24,225.69,21.41
2020-02-07T10:00:00Z,5.8,194.76,1.3,10.27,225.92,21.33
2020-02-07T11:00:00Z,5.94,191.65,1.29,10.29,226.15,21.25
2020-02-07T12:00:00Z,6.07,188.53,1.29,10.32,226.38,21.17
2020-02-07T13:00:00Z,6.04,189.08,1.27,10.32,226.77,21.09
2020-02-07T14:00:00Z,6.02,189.64,1.26,10.31,227.15,21.01
2020-02-07T15:00:00Z,5.99,190.19,1.24,10.31,227.54,20.94
2020-02-07T16:00:00Z,6.34,195.13,1.23,10.17,227.53,20.84
2020-02-07T17:00:00Z,6.7,200.07,1.22,10.02,227.51,20.74
2020-02-07T18:00:00Z,7.05,205.01,1.21,9.88,227.5,20.63
